run_id,timestamp,kp,ki,kd,temp,temp_ref,temp_raw,temp_u,temp_u_p,temp_u_i,temp_u_d,sq_error,mae
run_1775441777_b5861162,1775441782.4588096,6.0,995.0,12.0,25.461238861083984,0.0,22.143892288208008,-100.0,-100.0,0.0,4.0663743019104,648.2746843411733,25.461238861083984
run_1775441777_b5861162,1775441788.469573,6.0,995.0,12.0,25.32785415649414,0.0,21.94379234313965,-100.0,-100.0,0.0,4.416754245758057,641.5001961726375,25.32785415649414
run_1775441777_b5861162,1775441796.5931487,6.0,995.0,12.0,25.194469451904297,0.0,21.793773651123047,-100.0,-100.0,0.0,4.090402126312256,634.7612909629388,25.194469451904297
run_1775441777_b5861162,1775441804.6845906,6.0,995.0,12.0,24.972171783447266,0.0,21.54366111755371,-100.0,-100.0,0.0,4.001035690307617,623.6093635819998,24.972171783447266
run_1775441777_b5861162,1775441811.6603465,6.0,995.0,12.0,24.927698135375977,0.0,21.54366111755371,-100.0,-100.0,0.0,3.6193783283233643,621.3901343284269,24.927698135375977
run_1775441777_b5861162,1775441814.1654046,6.0,995.0,12.0,24.883251190185547,0.0,21.443660736083984,-100.0,-100.0,0.0,3.9104857444763184,619.1761897938704,24.883251190185547
run_1775441777_b5861162,1775441816.6905313,6.0,995.0,12.0,24.838809967041016,0.0,21.443660736083984,-100.0,-100.0,0.0,3.537466287612915,616.9664805787761,24.838809967041016
run_1775441777_b5861162,1775441819.1835914,6.0,995.0,12.0,24.794336318969727,0.0,21.34366226196289,-100.0,-100.0,0.0,3.864311456680298,614.7591134981813,24.794336318969727
run_1775441777_b5861162,1775441821.6911972,6.0,995.0,12.0,24.749921798706055,0.0,21.34366226196289,-100.0,-100.0,0.0,3.9359967708587646,612.5586290420651,24.749921798706055
run_1775441777_b5861162,1775441824.1963606,6.0,995.0,12.0,24.705448150634766,0.0,21.293630599975586,-100.0,-100.0,0.0,3.8133957386016846,610.3591683237028,24.705448150634766
run_1775441777_b5861162,1775441826.6958578,6.0,995.0,12.0,24.661008834838867,0.0,21.243635177612305,-100.0,-100.0,0.0,3.8943357467651367,608.1653567520007,24.661008834838867
run_1775441777_b5861162,1775441829.1923234,6.0,995.0,12.0,24.616539001464844,0.0,21.193607330322266,-100.0,-100.0,0.0,3.790755271911621,605.9739924106398,24.616539001464844
run_1775441777_b5861162,1775441831.693051,6.0,995.0,12.0,24.57208251953125,0.0,21.143592834472656,-100.0,-100.0,0.0,3.429156541824341,603.7872393466532,24.57208251953125
run_1775441777_b5861162,1775441834.199542,6.0,995.0,12.0,24.57208251953125,0.0,21.093599319458008,-100.0,-100.0,0.0,3.8135037422180176,603.7872393466532,24.57208251953125
run_1775441777_b5861162,1775441836.6978323,6.0,995.0,12.0,24.483177185058594,0.0,21.0435733795166,-100.0,-100.0,0.0,3.4497358798980713,599.4259650749736,24.483177185058594
run_1775441777_b5861162,1775441839.209624,6.0,995.0,12.0,24.438722610473633,0.0,20.993562698364258,-100.0,-100.0,0.0,3.3662281036376953,597.2511628316752,24.438722610473633
run_1775441777_b5861162,1775441841.7187388,6.0,995.0,12.0,24.438722610473633,0.0,20.993562698364258,-100.0,-100.0,0.0,3.4850664138793945,597.2511628316752,24.438722610473633
run_1775441777_b5861162,1775441844.2196753,6.0,995.0,12.0,24.394285202026367,0.0,20.943571090698242,-100.0,-100.0,0.0,3.434199094772339,595.0811505178026,24.394285202026367
run_1775441777_b5861162,1775441846.717944,6.0,995.0,12.0,24.34983253479004,0.0,20.89356231689453,-100.0,-100.0,0.0,3.10661244392395,592.9143444723195,24.34983253479004
run_1775441777_b5861162,1775441849.2154381,6.0,995.0,12.0,24.34983253479004,0.0,20.843570709228516,-100.0,-100.0,0.0,3.5270252227783203,592.9143444723195,24.34983253479004
run_1775441777_b5861162,1775441851.723199,6.0,995.0,12.0,24.260963439941406,0.0,20.793582916259766,-100.0,-100.0,0.0,3.1905837059020996,588.5943470341736,24.260963439941406
run_1775441777_b5861162,1775441854.2314868,6.0,995.0,12.0,24.260963439941406,0.0,20.74357795715332,-100.0,-100.0,0.0,3.1365134716033936,588.5943470341736,24.260963439941406
run_1775441777_b5861162,1775441860.3859284,6.0,995.0,12.0,24.127613067626953,0.0,20.643566131591797,-100.0,-100.0,0.0,3.100557565689087,582.1417123411229,24.127613067626953
run_1775441777_b5861162,1775441862.9225934,6.0,995.0,12.0,24.127613067626953,0.0,20.593564987182617,-100.0,-100.0,0.0,3.2492473125457764,582.1417123411229,24.127613067626953
