run_id,timestamp,kp,ki,kd,temp,temp_ref,temp_raw,temp_u,temp_u_p,temp_u_i,temp_u_d,sq_error
run_1774295693_9f9a2858,1774295694.6809597,18.0,1000.0,5.0,28.559335708618164,0.0,28.99324607849121,-100.0,-100.0,0.0,0.40412935614585876,815.6356561175526
run_1774295693_9f9a2858,1774295697.5257869,18.0,1000.0,5.0,28.510025024414062,0.0,28.99324607849121,-100.0,-100.0,0.0,0.36557966470718384,812.8215268927161
run_1774295693_9f9a2858,1774295700.2959511,18.0,1000.0,5.0,28.460649490356445,0.0,28.94303321838379,-100.0,-100.0,0.0,0.3765745759010315,810.0085694129266
run_1774295693_9f9a2858,1774295702.7572324,18.0,1000.0,5.0,28.362058639526367,0.0,28.842771530151367,-100.0,-100.0,0.0,0.5106976628303528,804.4063702719322
run_1774295693_9f9a2858,1774295705.5208788,18.0,1000.0,5.0,28.31271743774414,0.0,28.79259490966797,-100.0,-100.0,0.0,0.43939632177352905,801.6099687095411
run_1774295693_9f9a2858,1774295708.4064698,18.0,1000.0,5.0,28.263378143310547,0.0,28.74241828918457,-100.0,-100.0,0.0,0.46200886368751526,798.8185440717643
run_1774295693_9f9a2858,1774295711.264626,18.0,1000.0,5.0,28.263378143310547,0.0,28.74241828918457,-100.0,-100.0,0.0,0.5331050157546997,798.8185440717643
run_1774295693_9f9a2858,1774295714.1145992,18.0,1000.0,5.0,28.164762496948242,0.0,28.642131805419922,-100.0,-100.0,0.0,0.524465024471283,793.2538465095022
run_1774295693_9f9a2858,1774295716.7029111,18.0,1000.0,5.0,28.115455627441406,0.0,28.591989517211914,-100.0,-100.0,0.0,0.6060571670532227,790.4788451386266
run_1774295693_9f9a2858,1774295719.1501234,18.0,1000.0,5.0,28.066146850585938,0.0,28.541845321655273,-100.0,-100.0,0.0,0.4588322341442108,787.7085990386549
run_1774295693_9f9a2858,1774295721.902495,18.0,1000.0,5.0,28.01681137084961,0.0,28.49167251586914,-100.0,-100.0,0.0,0.5226881504058838,784.941719389768
run_1774295693_9f9a2858,1774295724.802932,18.0,1000.0,5.0,27.96747589111328,0.0,28.34125328063965,-100.0,-100.0,0.0,0.5773472189903259,782.1797077200026
run_1774295693_9f9a2858,1774295727.6401036,18.0,1000.0,5.0,27.868898391723633,0.0,28.34125328063965,-100.0,-100.0,0.0,0.7022916078567505,776.6754975682161
run_1774295693_9f9a2858,1774295730.5183573,18.0,1000.0,5.0,27.720901489257812,0.0,28.19074821472168,-100.0,-100.0,0.0,0.6042406558990479,768.448379377136
run_1774295693_9f9a2858,1774295733.3829947,18.0,1000.0,5.0,27.720901489257812,0.0,28.19074821472168,-100.0,-100.0,0.0,0.5198793411254883,768.448379377136
run_1774295693_9f9a2858,1774295736.4390836,18.0,1000.0,5.0,27.57297134399414,0.0,28.04030990600586,-100.0,-100.0,0.0,0.6599122881889343,760.268748736722
run_1774295693_9f9a2858,1774295739.3144119,18.0,1000.0,5.0,27.523704528808594,0.0,27.99020767211914,-100.0,-100.0,0.0,0.5971482396125793,757.5543109891587
run_1774295693_9f9a2858,1774295742.4856687,18.0,1000.0,5.0,27.474376678466797,0.0,27.940044403076172,-100.0,-100.0,0.0,0.6046980023384094,754.8413738702802
run_1774295693_9f9a2858,1774295745.2487094,18.0,1000.0,5.0,27.375755310058594,0.0,27.839750289916992,-100.0,-100.0,0.0,0.6429449915885925,749.4319787962013
run_1774295693_9f9a2858,1774295747.700171,18.0,1000.0,5.0,27.326459884643555,0.0,27.78961944580078,-100.0,-100.0,0.0,0.644173800945282,746.7354098270334
run_1774295693_9f9a2858,1774295750.2678463,18.0,1000.0,5.0,27.326459884643555,0.0,27.78961944580078,-100.0,-100.0,0.0,0.7515989542007446,746.7354098270334
