run_id,timestamp,kp,ki,kd,temp,temp_ref,temp_raw,temp_u,temp_u_p,temp_u_i,temp_u_d,sq_error,mae
run_1775518428_b8b37375,1775518429.957881,6.0,224.0,15.0,28.18879508972168,0.0,25.1966609954834,-100.0,-100.0,0.0,3.8603172302246094,794.6081686103171,28.18879508972168
run_1775518428_b8b37375,1775518432.474254,6.0,224.0,15.0,28.140708923339844,0.0,25.14657211303711,-100.0,-100.0,0.0,4.43134069442749,791.8994987081387,28.140708923339844
run_1775518428_b8b37375,1775518434.9840698,6.0,224.0,15.0,28.0926570892334,0.0,25.04646110534668,-100.0,-100.0,0.0,4.37261962890625,789.1973823332555,28.0926570892334
run_1775518428_b8b37375,1775518437.5161388,6.0,224.0,15.0,28.04460334777832,0.0,25.04646110534668,-100.0,-100.0,0.0,4.535269260406494,786.499776934219,28.04460334777832
run_1775518428_b8b37375,1775518440.0211513,6.0,224.0,15.0,27.952314376831055,0.0,24.946353912353516,-100.0,-100.0,0.0,4.939822673797607,781.3318790211961,27.952314376831055
run_1775518428_b8b37375,1775518442.5463727,6.0,224.0,15.0,27.907793045043945,0.0,24.89626693725586,-100.0,-100.0,0.0,5.025107383728027,778.8449126450032,27.907793045043945
run_1775518428_b8b37375,1775518445.0629854,6.0,224.0,15.0,27.86327362060547,0.0,24.796098709106445,-100.0,-100.0,0.0,4.832003593444824,776.3620168567286,27.86327362060547
run_1775518428_b8b37375,1775518447.5954251,6.0,224.0,15.0,27.774295806884766,0.0,24.746082305908203,-100.0,-100.0,0.0,4.8996405601501465,771.4115075683367,27.774295806884766
run_1775518428_b8b37375,1775518450.1264977,6.0,224.0,15.0,27.729778289794922,0.0,24.695999145507812,-100.0,-100.0,0.0,5.255285739898682,768.9406040011818,27.729778289794922
run_1775518428_b8b37375,1775518452.6435475,6.0,224.0,15.0,27.68528938293457,0.0,24.645950317382812,-100.0,-100.0,0.0,4.753986835479736,766.4752482168296,27.68528938293457
run_1775518428_b8b37375,1775518455.1625152,6.0,224.0,15.0,27.640771865844727,0.0,24.545822143554688,-100.0,-100.0,0.0,5.107605457305908,764.0122693396734,27.640771865844727
run_1775518428_b8b37375,1775518457.6614661,6.0,224.0,15.0,27.59628677368164,0.0,24.545822143554688,-100.0,-100.0,0.0,5.160306930541992,761.5550436952763,27.59628677368164
run_1775518428_b8b37375,1775518460.1999755,6.0,224.0,15.0,27.551774978637695,0.0,24.495746612548828,-100.0,-100.0,0.0,4.973733425140381,759.1003044734862,27.551774978637695
run_1775518428_b8b37375,1775518462.7009997,6.0,224.0,15.0,27.462833404541016,0.0,24.395687103271484,-100.0,-100.0,0.0,5.012478828430176,754.2072186055739,27.462833404541016
run_1775518428_b8b37375,1775518465.2136602,6.0,224.0,15.0,27.462833404541016,0.0,24.345609664916992,-100.0,-100.0,0.0,4.821073055267334,754.2072186055739,27.462833404541016
run_1775518428_b8b37375,1775518467.735171,6.0,224.0,15.0,27.373836517333984,0.0,24.295564651489258,-100.0,-100.0,0.0,4.890049457550049,749.3269256777276,27.373836517333984
run_1775518428_b8b37375,1775518470.2507312,6.0,224.0,15.0,27.329294204711914,0.0,24.24545669555664,-100.0,-100.0,0.0,5.287278652191162,746.8903217277002,27.329294204711914
run_1775518428_b8b37375,1775518472.7721202,6.0,224.0,15.0,27.284839630126953,0.0,24.195446014404297,-100.0,-100.0,0.0,4.782929420471191,744.4624736417463,27.284839630126953
run_1775518428_b8b37375,1775518475.3016508,6.0,224.0,15.0,27.240333557128906,0.0,24.145374298095703,-100.0,-100.0,0.0,4.613394737243652,742.0357723036432,27.240333557128906
run_1775518428_b8b37375,1775518477.8176773,6.0,224.0,15.0,27.195850372314453,0.0,24.095333099365234,-100.0,-100.0,0.0,4.681392669677734,739.6142774733162,27.195850372314453
run_1775518428_b8b37375,1775518480.3430274,6.0,224.0,15.0,27.151344299316406,0.0,24.045263290405273,-100.0,-100.0,0.0,5.065192222595215,737.1954972600215,27.151344299316406
run_1775518428_b8b37375,1775518482.8686519,6.0,224.0,15.0,27.10686492919922,0.0,23.94518280029297,-100.0,-100.0,0.0,5.138017177581787,734.7821262898506,27.10686492919922
run_1775518428_b8b37375,1775518485.375719,6.0,224.0,15.0,27.06238555908203,0.0,23.94518280029297,-100.0,-100.0,0.0,4.420670032501221,732.3727121484117,27.06238555908203
run_1775518428_b8b37375,1775518487.8936234,6.0,224.0,15.0,27.017908096313477,0.0,23.8951473236084,-100.0,-100.0,0.0,4.527771472930908,729.9673579008413,27.017908096313477
run_1775518428_b8b37375,1775518490.4023979,6.0,224.0,15.0,26.97340202331543,0.0,23.845077514648438,-100.0,-100.0,0.0,4.9754157066345215,727.5644167113969,26.97340202331543
run_1775518428_b8b37375,1775518492.9039865,6.0,224.0,15.0,26.928926467895508,0.0,23.795042037963867,-100.0,-100.0,0.0,4.500814437866211,725.1670807133232,26.928926467895508
