Date/Time;Temperature;Setpoint Temperature °C;Temperature Control (P) %;Temperature Control (I) %;Temperature Control (D) %
18.01.26 19:15:13;26,37;0,00;-100,00;0,00;0,13
18.01.26 19:15:15;26,37;0,00;-100,00;0,00;0,12
18.01.26 19:15:17;26,37;0,00;-100,00;0,00;0,11
18.01.26 19:15:20;26,37;0,00;-100,00;0,00;0,10
18.01.26 19:15:22;26,37;0,00;-100,00;0,00;0,09
18.01.26 19:15:24;26,37;0,00;-100,00;0,00;0,08
18.01.26 19:15:26;26,37;0,00;-100,00;0,00;0,07
18.01.26 19:15:28;26,37;0,00;-100,00;0,00;0,06
18.01.26 19:15:30;26,37;0,00;-100,00;0,00;0,06
18.01.26 19:15:32;26,37;0,00;-100,00;0,00;0,05
18.01.26 19:15:34;26,37;0,00;-100,00;0,00;0,05
18.01.26 19:15:36;26,37;0,00;-100,00;0,00;0,04
18.01.26 19:15:38;26,37;0,00;-100,00;0,00;0,04
18.01.26 19:15:40;26,37;0,00;-100,00;0,00;0,03
18.01.26 19:15:42;26,37;0,00;-100,00;0,00;0,03
18.01.26 19:15:44;26,37;0,00;-100,00;0,00;0,03
18.01.26 19:15:46;26,37;0,00;-100,00;0,00;0,03
18.01.26 19:15:48;26,37;0,00;-100,00;0,00;0,02
18.01.26 19:15:50;26,37;0,00;-100,00;0,00;0,02
18.01.26 19:15:52;26,27;0,00;-100,00;0,00;0,00
18.01.26 19:15:54;26,37;0,00;-100,00;0,00;0,00
18.01.26 19:15:57;26,37;0,00;-100,00;0,00;0,00
18.01.26 19:15:59;26,37;0,00;-100,00;0,00;0,00
18.01.26 19:16:01;26,37;0,00;-100,00;0,00;0,00
18.01.26 19:16:03;26,32;0,00;-100,00;0,00;-0,01
18.01.26 19:16:05;26,37;0,00;-100,00;0,00;-0,01
18.01.26 19:16:07;26,37;0,00;-100,00;0,00;-0,01
18.01.26 19:16:09;26,37;0,00;-100,00;0,00;-0,01
18.01.26 19:16:11;26,32;0,00;-100,00;0,00;0,14
18.01.26 19:16:13;26,32;0,00;-100,00;0,00;0,13
18.01.26 19:16:15;26,32;0,00;-100,00;0,00;0,11
18.01.26 19:16:17;26,32;0,00;-100,00;0,00;0,10
18.01.26 19:16:19;26,32;0,00;-100,00;0,00;0,09
18.01.26 19:16:21;26,32;0,00;-100,00;0,00;0,22
18.01.26 19:16:23;26,27;0,00;-100,00;0,00;0,20
18.01.26 19:16:25;26,27;0,00;-100,00;0,00;0,33
18.01.26 19:16:27;26,22;0,00;-100,00;0,00;0,45
18.01.26 19:16:29;26,17;0,00;-100,00;0,00;0,55
18.01.26 19:16:31;26,07;0,00;-100,00;0,00;0,78
18.01.26 19:16:34;26,02;0,00;-100,00;0,00;1,00
18.01.26 19:16:36;25,82;0,00;-100,00;0,00;1,33
18.01.26 19:16:38;25,77;0,00;-100,00;0,00;1,49
18.01.26 19:16:40;25,52;0,00;-100,00;0,00;2,07
18.01.26 19:16:42;25,42;0,00;-100,00;0,00;2,31
18.01.26 19:16:44;24,92;0,00;-100,00;0,00;3,11
18.01.26 19:16:46;24,77;0,00;-100,00;0,00;3,25
18.01.26 19:16:48;24,37;0,00;-100,00;0,00;4,10
18.01.26 19:16:50;24,17;0,00;-100,00;0,00;4,68
18.01.26 19:16:52;23,72;0,00;-100,00;0,00;4,94
18.01.26 19:16:54;23,52;0,00;-100,00;0,00;5,77
18.01.26 19:16:56;23,27;0,00;-100,00;0,00;5,80
18.01.26 19:16:58;22,77;0,00;-100,00;0,00;6,82
18.01.26 19:17:00;22,52;0,00;-100,00;0,00;6,89
18.01.26 19:17:02;22,02;0,00;-100,00;0,00;7,82
18.01.26 19:17:04;21,72;0,00;-100,00;0,00;7,94
18.01.26 19:17:07;21,17;0,00;-100,00;0,00;8,76
18.01.26 19:17:09;20,87;0,00;-100,00;0,00;8,80
18.01.26 19:17:11;20,27;0,00;-100,00;0,00;9,68
18.01.26 19:17:13;19,97;0,00;-100,00;0,00;9,48
18.01.26 19:17:15;19,42;0,00;-100,00;0,00;9,41
18.01.26 19:17:17;19,12;0,00;-100,00;0,00;10,20
18.01.26 19:17:19;18,52;0,00;-100,00;0,00;10,06
18.01.26 19:17:21;17,92;0,00;-100,00;0,00;10,78
18.01.26 19:17:23;17,62;0,00;-100,00;0,00;10,93
18.01.26 19:17:25;17,02;0,00;-100,00;0,00;11,59
18.01.26 19:17:27;16,72;0,00;-100,00;0,00;11,20
18.01.26 19:17:29;16,17;0,00;-100,00;0,00;11,85
18.01.26 19:17:31;15,87;0,00;-100,00;0,00;11,58
18.01.26 19:17:34;15,28;0,00;-100,00;0,00;12,04
18.01.26 19:17:36;15,03;0,00;-100,00;0,00;11,75
18.01.26 19:17:38;14,48;0,00;-100,00;0,00;12,06
18.01.26 19:17:40;14,23;0,00;-100,00;0,00;11,77
18.01.26 19:17:42;13,68;0,00;-100,00;0,00;12,08
18.01.26 19:17:44;13,43;0,00;-100,00;0,00;11,64
18.01.26 19:17:46;12,63;0,00;-100,00;0,00;12,12
18.01.26 19:17:48;12,38;0,00;-100,00;0,00;11,68
18.01.26 19:17:50;11,93;0,00;-100,00;-0,04;11,28
18.01.26 19:17:52;11,68;0,00;-100,00;-0,43;11,62
18.01.26 19:17:54;11,19;0,00;-100,00;-1,00;11,22
18.01.26 19:17:56;10,99;0,00;-100,00;-1,37;11,43
18.01.26 19:17:58;10,49;0,00;-100,00;-1,72;11,05
18.01.26 19:18:00;10,29;0,00;-100,00;-2,06;11,28
18.01.26 19:18:02;9,84;0,00;-98,41;-2,39;10,77
18.01.26 19:18:05;9,64;0,00;-93,93;-2,71;11,04
18.01.26 19:18:07;9,19;0,00;-91,93;-3,02;10,55
18.01.26 19:18:09;8,99;0,00;-87,95;-3,32;10,69
18.01.26 19:18:11;8,60;0,00;-85,96;-3,61;10,23
18.01.26 19:18:13;8,40;0,00;-81,97;-3,89;10,40
18.01.26 19:18:15;8,00;0,00;-79,98;-4,16;9,98
18.01.26 19:18:17;7,65;0,00;-76,50;-4,42;10,03
18.01.26 19:18:19;7,45;0,00;-74,51;-4,68;9,65
18.01.26 19:18:21;7,05;0,00;-70,52;-4,92;9,39
18.01.26 19:18:23;6,90;0,00;-69,03;-5,15;9,49
18.01.26 19:18:25;6,50;0,00;-65,05;-5,37;9,14
18.01.26 19:18:27;6,31;0,00;-63,06;-5,69;9,25
18.01.26 19:18:29;6,16;0,00;-61,56;-5,89;8,80
18.01.26 19:18:31;5,81;0,00;-58,08;-6,09;8,94
18.01.26 19:18:33;5,66;0,00;-56,59;-6,27;8,52
18.01.26 19:18:35;5,31;0,00;-51,61;-6,45;8,69
18.01.26 19:18:38;5,16;0,00;-50,12;-6,62;8,29
18.01.26 19:18:40;4,86;0,00;-47,14;-6,78;8,35
18.01.26 19:18:42;4,71;0,00;-45,64;-6,93;7,98
18.01.26 19:18:44;4,42;0,00;-42,66;-7,08;8,07
18.01.26 19:18:46;4,27;0,00;-41,17;-7,22;7,73
18.01.26 19:18:48;3,82;0,00;-38,18;-7,35;7,85
18.01.26 19:18:50;3,67;0,00;-36,69;-7,48;7,53
18.01.26 19:18:52;3,37;0,00;-33,71;-7,60;7,29
18.01.26 19:18:54;3,27;0,00;-32,71;-7,71;7,30
18.01.26 19:18:56;2,97;0,00;-29,73;-7,86;7,03
18.01.26 19:18:58;2,82;0,00;-28,24;-7,95;7,20
18.01.26 19:19:00;2,53;0,00;-25,26;-8,04;6,93
18.01.26 19:19:02;2,38;0,00;-22,77;-8,12;6,97
18.01.26 19:19:04;2,13;0,00;-21,28;-8,19;6,73
18.01.26 19:19:07;1,98;0,00;-18,30;-8,26;6,94
18.01.26 19:19:09;1,73;0,00;-17,31;-8,31;6,56
18.01.26 19:19:11;1,63;0,00;-14,82;-8,37;6,64
18.01.26 19:19:13;1,38;0,00;-13,83;-8,42;6,29
18.01.26 19:19:15;1,23;0,00;-11,34;-8,46;6,39
18.01.26 19:19:17;1,03;0,00;-10,35;-8,49;6,06
18.01.26 19:19:19;0,79;0,00;-7,86;-8,52;6,20
18.01.26 19:19:21;0,69;0,00;-6,87;-8,55;5,89
18.01.26 19:19:23;0,49;0,00;-4,88;-8,57;5,90
18.01.26 19:19:25;0,39;0,00;-3,89;-8,58;5,64
18.01.26 19:19:27;0,14;0,00;-1,41;-8,59;5,81
18.01.26 19:19:29;0,04;0,00;-0,41;-8,59;5,55
18.01.26 19:19:31;-0,16;0,00;1,57;-8,59;5,30
18.01.26 19:19:33;-0,31;0,00;3,06;-8,55;5,50
18.01.26 19:19:35;-0,50;0,00;5,05;-8,50;5,25
18.01.26 19:19:37;-0,60;0,00;6,04;-8,44;5,17
18.01.26 19:19:39;-0,75;0,00;7,53;-8,37;4,95
18.01.26 19:19:41;-0,80;0,00;8,53;-8,28;4,76
18.01.26 19:19:44;-0,95;0,00;9,52;-8,19;4,59
18.01.26 19:19:46;-1,00;0,00;10,51;-8,09;4,43
18.01.26 19:19:48;-1,05;0,00;11,50;-7,98;4,29
18.01.26 19:19:50;-1,20;0,00;12,50;-7,86;4,17
18.01.26 19:19:52;-1,25;0,00;13,49;-7,73;4,05
18.01.26 19:19:54;-1,50;0,00;14,98;-7,59;4,09
18.01.26 19:19:56;-1,55;0,00;15,48;-7,43;3,85
18.01.26 19:19:58;-1,70;0,00;16,97;-7,27;3,91
18.01.26 19:20:00;-1,75;0,00;17,46;-7,10;3,68
18.01.26 19:20:02;-1,85;0,00;18,46;-6,92;3,43
18.01.26 19:20:04;-1,94;0,00;19,45;-6,73;3,52
18.01.26 19:20:06;-2,04;0,00;20,44;-6,53;3,33
18.01.26 19:20:08;-2,09;0,00;20,94;-6,32;3,43
18.01.26 19:20:10;-2,24;0,00;22,43;-5,99;3,25
18.01.26 19:20:12;-2,29;0,00;22,92;-5,76;3,22
18.01.26 19:20:14;-2,39;0,00;23,92;-5,52;3,05
18.01.26 19:20:16;-2,44;0,00;24,91;-5,28;3,04
18.01.26 19:20:18;-2,59;0,00;25,90;-5,02;3,03
18.01.26 19:20:21;-2,64;0,00;26,89;-4,76;3,03
18.01.26 19:20:23;-2,74;0,00;27,39;-4,48;2,88
18.01.26 19:20:25;-2,79;0,00;28,38;-4,20;2,88
18.01.26 19:20:27;-2,89;0,00;28,88;-3,92;2,75
18.01.26 19:20:29;-2,89;0,00;29,87;-3,63;2,78
18.01.26 19:20:31;-2,99;0,00;29,87;-3,33;2,52
18.01.26 19:20:33;-3,09;0,00;30,86;-3,02;2,56
18.01.26 19:20:35;-3,09;0,00;30,86;-2,71;2,32
18.01.26 19:20:37;-3,19;0,00;31,86;-2,40;2,26
18.01.26 19:20:39;-3,19;0,00;31,86;-2,08;2,19
18.01.26 19:20:41;-3,24;0,00;32,35;-1,76;2,13
18.01.26 19:20:43;-3,28;0,00;32,85;-1,43;1,93
18.01.26 19:20:45;-3,33;0,00;33,34;-0,94;1,88
18.01.26 19:20:47;-3,33;0,00;33,34;-0,60;1,85
18.01.26 19:20:49;-3,38;0,00;33,84;-0,26;1,67
18.01.26 19:20:51;-3,43;0,00;34,34;0,04;1,65
18.01.26 19:20:53;-3,43;0,00;34,34;0,15;1,49
