run_id,timestamp,kp,ki,kd,temp,temp_ref,temp_raw,temp_u,temp_u_p,temp_u_i,temp_u_d,sq_error,mae,start_temp_measured,target_temp_measured,delta_temp_measured
run_1775463772_0e02ca7e,1775463773.2394805,6.0,981.0,11.0,-9.060152053833008,20.0,-16.396045684814453,100.0,100.0,0.0,-13.443477630615234,844.4924373918948,29.060152053833008,-9.060152053833008,20.0,-29.060152053833008
run_1775463772_0e02ca7e,1775463775.7502575,6.0,981.0,11.0,-8.53281021118164,20.0,-16.099411010742188,100.0,100.0,0.0,-14.096501350402832,814.1212585473113,28.53281021118164,-9.060152053833008,20.0,-29.060152053833008
run_1775463772_0e02ca7e,1775463778.262762,6.0,981.0,11.0,-8.005373001098633,20.0,-15.20931339263916,100.0,100.0,0.0,-16.903661727905273,784.3009169306642,28.005373001098633,-9.060152053833008,20.0,-29.060152053833008
run_1775463772_0e02ca7e,1775463780.7682614,6.0,981.0,11.0,-7.4338860511779785,20.0,-14.86312198638916,100.0,100.0,0.0,-20.60660171508789,752.6181038690177,27.43388605117798,-9.060152053833008,20.0,-29.060152053833008
run_1775463772_0e02ca7e,1775463783.279419,6.0,981.0,11.0,-6.774330139160156,20.0,-14.121121406555176,100.0,100.0,0.0,-23.357402801513672,716.8647544007399,26.774330139160156,-9.060152053833008,20.0,-29.060152053833008
run_1775463772_0e02ca7e,1775463785.7823205,6.0,981.0,11.0,-6.202586650848389,20.0,-13.477910041809082,100.0,100.0,0.0,-26.587581634521484,686.5755471952182,26.20258665084839,-9.060152053833008,20.0,-29.060152053833008
run_1775463772_0e02ca7e,1775463788.2836676,6.0,981.0,11.0,-5.850705623626709,20.0,-12.686111450195312,100.0,100.0,0.0,-28.954082489013672,668.2589812394056,25.85070562362671,-9.060152053833008,20.0,-29.060152053833008
run_1775463772_0e02ca7e,1775463790.7843053,6.0,981.0,11.0,-4.79476261138916,20.0,-11.894107818603516,100.0,100.0,0.0,-29.261409759521484,614.7802529551418,24.79476261138916,-9.060152053833008,20.0,-29.060152053833008
run_1775463772_0e02ca7e,1775463793.294959,6.0,981.0,11.0,-4.442696571350098,20.0,-11.101944923400879,100.0,100.0,0.0,-33.78413772583008,597.4454156790898,24.442696571350098,-9.060152053833008,20.0,-29.060152053833008
run_1775463772_0e02ca7e,1775463795.7968607,6.0,981.0,11.0,-3.7824621200561523,20.0,-10.755270004272461,100.0,100.0,0.0,-34.050472259521484,565.6055044919058,23.782462120056152,-9.060152053833008,20.0,-29.060152053833008
run_1775463772_0e02ca7e,1775463798.300809,6.0,981.0,11.0,-3.0340218544006348,20.0,-9.467414855957031,100.0,100.0,0.0,-35.64363098144531,530.5661627890061,23.034021854400635,-9.060152053833008,20.0,-29.060152053833008
run_1775463772_0e02ca7e,1775463800.802528,6.0,981.0,11.0,-2.2853894233703613,20.0,-9.071063041687012,100.0,100.0,0.0,-38.39221954345703,496.63858175126757,22.28538942337036,-9.060152053833008,20.0,-29.060152053833008
run_1775463772_0e02ca7e,1775463803.319707,6.0,981.0,11.0,-1.5365495681762695,20.0,-8.228618621826172,100.0,100.0,0.0,-39.035518646240234,463.82296730251346,21.53654956817627,-9.060152053833008,20.0,-29.060152053833008
run_1775463772_0e02ca7e,1775463805.8266218,6.0,981.0,11.0,-0.8756842613220215,20.0,-7.485145092010498,100.0,100.0,0.0,-40.0,435.79419337840795,20.87568426132202,-9.060152053833008,20.0,-29.060152053833008
run_1775463772_0e02ca7e,1775463808.343297,6.0,981.0,11.0,-0.47905588150024414,20.0,-6.642293930053711,100.0,100.0,0.0,-40.0,419.39172979760974,20.479055881500244,-9.060152053833008,20.0,-29.060152053833008
run_1775463772_0e02ca7e,1775463810.8501518,6.0,981.0,11.0,0.6670031547546387,20.0,-5.749621391296387,100.0,100.0,0.0,-40.0,373.7647670182671,19.33299684524536,-9.060152053833008,20.0,-29.060152053833008
run_1775463772_0e02ca7e,1775463813.359863,6.0,981.0,11.0,0.9756040573120117,20.0,-5.0055694580078125,100.0,100.0,0.0,-40.0,361.9276409841632,19.02439594268799,-9.060152053833008,20.0,-29.060152053833008
run_1775463772_0e02ca7e,1775463815.8744056,6.0,981.0,11.0,1.7252821922302246,20.0,-4.559057712554932,100.0,100.0,0.0,-40.0,333.96531095361775,18.274717807769775,-9.060152053833008,20.0,-29.060152053833008
run_1775463772_0e02ca7e,1775463818.4069743,6.0,981.0,11.0,2.431035280227661,20.0,-3.2687644958496094,100.0,100.0,0.0,-40.0,308.66852132460514,17.56896471977234,-9.060152053833008,20.0,-29.060152053833008
run_1775463772_0e02ca7e,1775463820.9212694,6.0,981.0,11.0,3.181072950363159,20.0,-2.921293020248413,100.0,100.0,0.0,-40.0,282.8763071010058,16.81892704963684,-9.060152053833008,20.0,-29.060152053833008
run_1775463772_0e02ca7e,1775463823.4272249,6.0,981.0,11.0,3.931304693222046,20.0,-2.077282190322876,100.0,100.0,0.0,-40.0,258.20296886206785,16.068695306777954,-9.060152053833008,20.0,-29.060152053833008
run_1775463772_0e02ca7e,1775463825.9499717,6.0,981.0,11.0,4.681757926940918,20.0,-1.2330224514007568,100.0,100.0,0.0,-40.0,234.6485402088374,15.318242073059082,-9.060152053833008,20.0,-29.060152053833008
run_1775463772_0e02ca7e,1775463828.45224,6.0,981.0,11.0,5.1232590675354,20.0,-0.33892518281936646,100.0,100.0,0.0,-40.0,221.31742077166768,14.8767409324646,-9.060152053833008,20.0,-29.060152053833008
