Date/Time;Temperature;Setpoint Temperature °C;Temperature Control (P) %;Temperature Control (I) %;Temperature Control (D) %
19.01.26 00:48:26;24,92;0,00;-100,00;0,00;0,46
19.01.26 00:48:28;24,92;0,00;-100,00;0,00;0,73
19.01.26 00:48:30;24,92;0,00;-100,00;0,00;0,35
19.01.26 00:48:32;24,87;0,00;-100,00;0,00;0,62
19.01.26 00:48:34;24,87;0,00;-100,00;0,00;0,56
19.01.26 00:48:36;24,87;0,00;-100,00;0,00;0,51
19.01.26 00:48:38;24,82;0,00;-100,00;0,00;0,77
19.01.26 00:48:40;24,82;0,00;-100,00;0,00;0,70
19.01.26 00:48:42;24,82;0,00;-100,00;0,00;0,63
19.01.26 00:48:44;24,82;0,00;-100,00;0,00;0,57
19.01.26 00:48:46;24,82;0,00;-100,00;0,00;0,49
19.01.26 00:48:48;24,82;0,00;-100,00;0,00;0,45
19.01.26 00:48:50;24,82;0,00;-100,00;0,00;0,40
19.01.26 00:48:52;24,82;0,00;-100,00;0,00;0,70
19.01.26 00:48:54;24,77;0,00;-100,00;0,00;0,63
19.01.26 00:48:56;24,77;0,00;-100,00;0,00;0,24
19.01.26 00:48:59;24,82;0,00;-100,00;0,00;0,22
19.01.26 00:49:01;24,77;0,00;-100,00;0,00;0,18
19.01.26 00:49:03;24,82;0,00;-100,00;0,00;0,48
19.01.26 00:49:05;24,77;0,00;-100,00;0,00;0,44
19.01.26 00:49:07;24,77;0,00;-100,00;0,00;0,40
19.01.26 00:49:09;24,77;0,00;-100,00;0,00;0,36
19.01.26 00:49:11;24,77;0,00;-100,00;0,00;0,32
19.01.26 00:49:13;24,77;0,00;-100,00;0,00;0,29
19.01.26 00:49:15;24,77;0,00;-100,00;0,00;0,27
19.01.26 00:49:17;24,77;0,00;-100,00;0,00;0,24
19.01.26 00:49:19;24,77;0,00;-100,00;0,00;0,22
19.01.26 00:49:21;24,77;0,00;-100,00;0,00;0,20
19.01.26 00:49:23;24,77;0,00;-100,00;0,00;0,18
19.01.26 00:49:25;24,77;0,00;-100,00;0,00;0,16
19.01.26 00:49:27;24,77;0,00;-100,00;0,00;0,15
19.01.26 00:49:29;24,77;0,00;-100,00;0,00;0,13
19.01.26 00:49:31;24,77;0,00;-100,00;0,00;0,11
19.01.26 00:49:33;24,77;0,00;-100,00;0,00;0,10
19.01.26 00:49:36;24,77;0,00;-100,00;0,00;0,09
19.01.26 00:49:38;24,77;0,00;-100,00;0,00;0,08
19.01.26 00:49:40;24,77;0,00;-100,00;0,00;0,08
19.01.26 00:49:42;24,77;0,00;-100,00;0,00;0,07
19.01.26 00:49:44;24,77;0,00;-100,00;0,00;0,06
19.01.26 00:49:46;24,77;0,00;-100,00;0,00;0,06
19.01.26 00:49:48;24,72;0,00;-100,00;0,00;0,37
19.01.26 00:49:50;24,77;0,00;-100,00;0,00;0,35
19.01.26 00:49:52;24,77;0,00;-100,00;0,00;0,00
19.01.26 00:49:54;24,77;0,00;-100,00;0,00;0,32
19.01.26 00:49:56;24,77;0,00;-100,00;0,00;-0,02
19.01.26 00:49:58;24,72;0,00;-100,00;0,00;0,28
19.01.26 00:50:00;24,72;0,00;-100,00;0,00;0,26
19.01.26 00:50:02;24,72;0,00;-100,00;0,00;0,55
19.01.26 00:50:04;24,67;0,00;-100,00;0,00;0,50
19.01.26 00:50:06;24,67;0,00;-100,00;0,00;0,45
19.01.26 00:50:08;24,67;0,00;-100,00;0,00;0,73
19.01.26 00:50:10;24,62;0,00;-100,00;0,00;0,99
19.01.26 00:50:13;24,57;0,00;-100,00;0,00;1,22
19.01.26 00:50:15;24,47;0,00;-100,00;0,00;1,75
19.01.26 00:50:17;24,42;0,00;-100,00;0,00;2,23
19.01.26 00:50:19;24,27;0,00;-100,00;0,00;3,00
19.01.26 00:50:21;24,17;0,00;-100,00;0,00;3,36
19.01.26 00:50:23;23,97;0,00;-100,00;0,00;4,66
19.01.26 00:50:25;23,82;0,00;-100,00;0,00;4,87
19.01.26 00:50:27;23,57;0,00;-100,00;0,00;5,34
19.01.26 00:50:29;23,47;0,00;-100,00;0,00;6,42
19.01.26 00:50:31;23,22;0,00;-100,00;0,00;6,43
19.01.26 00:50:33;22,92;0,00;-100,00;0,00;7,71
19.01.26 00:50:35;22,72;0,00;-100,00;0,00;8,23
19.01.26 00:50:37;22,42;0,00;-100,00;0,00;9,88
19.01.26 00:50:39;22,27;0,00;-100,00;0,00;10,23
19.01.26 00:50:41;21,92;0,00;-100,00;0,00;11,49
19.01.26 00:50:43;21,72;0,00;-100,00;0,00;11,68
19.01.26 00:50:45;21,32;0,00;-100,00;0,00;11,81
19.01.26 00:50:48;21,12;0,00;-100,00;0,00;13,18
19.01.26 00:50:50;20,72;0,00;-100,00;0,00;13,16
19.01.26 00:50:52;20,52;0,00;-100,00;0,00;14,40
19.01.26 00:50:54;20,07;0,00;-100,00;0,00;14,57
19.01.26 00:50:56;19,87;0,00;-100,00;0,00;16,00
19.01.26 00:50:58;19,37;0,00;-100,00;0,00;16,02
19.01.26 00:51:00;19,12;0,00;-100,00;0,00;17,29
19.01.26 00:51:02;18,67;0,00;-100,00;0,00;17,22
19.01.26 00:51:04;18,42;0,00;-100,00;0,00;18,70
19.01.26 00:51:06;17,92;0,00;-100,00;-0,14;18,49
19.01.26 00:51:08;17,42;0,00;-100,00;-0,38;19,85
19.01.26 00:51:10;17,17;0,00;-100,00;-0,61;19,53
19.01.26 00:51:12;16,62;0,00;-100,00;-0,83;21,09
19.01.26 00:51:14;16,37;0,00;-100,00;-1,05;21,23
19.01.26 00:51:16;15,87;0,00;-100,00;-1,27;22,42
19.01.26 00:51:18;15,62;0,00;-100,00;-1,48;21,87
19.01.26 00:51:20;15,13;0,00;-100,00;-1,78;23,33
19.01.26 00:51:23;14,83;0,00;-98,84;-1,98;22,69
19.01.26 00:51:25;14,33;0,00;-95,52;-2,17;23,74
19.01.26 00:51:27;14,08;0,00;-93,85;-2,35;23,07
19.01.26 00:51:29;13,53;0,00;-88,53;-2,54;24,39
19.01.26 00:51:31;13,28;0,00;-86,87;-2,71;23,68
19.01.26 00:51:33;12,78;0,00;-83,55;-2,88;24,64
19.01.26 00:51:35;12,53;0,00;-81,89;-3,05;23,91
19.01.26 00:51:37;12,03;0,00;-78,56;-3,21;24,84
19.01.26 00:51:39;11,78;0,00;-76,90;-3,37;24,09
19.01.26 00:51:41;11,04;0,00;-73,58;-3,52;25,00
19.01.26 00:51:43;10,79;0,00;-71,92;-3,66;24,24
19.01.26 00:51:45;10,54;0,00;-70,26;-3,80;23,94
19.01.26 00:51:47;10,09;0,00;-67,27;-3,94;24,52
19.01.26 00:51:49;9,84;0,00;-65,61;-4,07;23,78
19.01.26 00:51:51;9,39;0,00;-62,62;-4,20;24,38
19.01.26 00:51:53;9,14;0,00;-60,96;-4,38;23,34
19.01.26 00:51:56;8,70;0,00;-57,97;-4,50;23,96
