run_id,timestamp,kp,ki,kd,temp,temp_ref,temp_raw,temp_u,temp_u_p,temp_u_i,temp_u_d,sq_error,mae,start_temp_measured,target_temp_measured,delta_temp_measured
run_1775460228_ffb01544,1775460229.6877828,6.0,981.0,11.0,-3.958554744720459,30.0,-10.854323387145996,100.0,100.0,0.0,-4.528173923492432,1153.1834403501764,33.95855474472046,-3.958554744720459,30.0,-33.95855474472046
run_1775460228_ffb01544,1775460232.202107,6.0,981.0,11.0,-3.5623602867126465,30.0,-10.507655143737793,100.0,100.0,0.0,-5.616171360015869,1126.4320280151062,33.56236028671265,-3.958554744720459,30.0,-33.95855474472046
run_1775460228_ffb01544,1775460234.7014081,6.0,981.0,11.0,-3.4302873611450195,30.0,-10.111413955688477,100.0,100.0,0.0,-9.774003982543945,1117.5841130487324,33.43028736114502,-3.958554744720459,30.0,-33.95855474472046
run_1775460228_ffb01544,1775460237.2040586,6.0,981.0,11.0,-2.989985942840576,30.0,-9.863734245300293,100.0,100.0,0.0,-10.800148963928223,1088.3391725088188,32.989985942840576,-3.958554744720459,30.0,-33.95855474472046
run_1775460228_ffb01544,1775460239.7062533,6.0,981.0,11.0,-2.5056018829345703,30.0,-9.071063041687012,100.0,100.0,0.0,-13.34044361114502,1056.6141537718395,32.50560188293457,-3.958554744720459,30.0,-33.95855474472046
run_1775460228_ffb01544,1775460242.2172184,6.0,981.0,11.0,-2.0651607513427734,30.0,-8.8233060836792,100.0,100.0,0.0,-17.09713363647461,1028.174534009453,32.06516075134277,-3.958554744720459,30.0,-33.95855474472046
run_1775460228_ffb01544,1775460244.7190657,6.0,981.0,11.0,-1.4925050735473633,30.0,-8.179068565368652,100.0,100.0,0.0,-19.653635025024414,991.7778758074064,31.492505073547363,-3.958554744720459,30.0,-33.95855474472046
run_1775460228_ffb01544,1775460247.2228544,6.0,981.0,11.0,-0.8316159248352051,30.0,-7.435567855834961,100.0,100.0,0.0,-23.214086532592773,950.5885405365518,30.831615924835205,-3.958554744720459,30.0,-33.95855474472046
run_1775460228_ffb01544,1775460249.733571,6.0,981.0,11.0,-0.5231304168701172,30.0,-6.741471290588379,100.0,100.0,0.0,-25.355281829833984,931.6614904452617,30.523130416870117,-3.958554744720459,30.0,-33.95855474472046
run_1775460228_ffb01544,1775460252.2353663,6.0,981.0,11.0,0.4024643898010254,30.0,-6.047227382659912,100.0,100.0,0.0,-25.599830627441406,876.0141141969964,29.597535610198975,-3.958554744720459,30.0,-33.95855474472046
run_1775460228_ffb01544,1775460254.7539108,6.0,981.0,11.0,0.7551732063293457,30.0,-5.2536163330078125,100.0,100.0,0.0,-30.679283142089844,855.259894191797,29.244826793670654,-3.958554744720459,30.0,-33.95855474472046
run_1775460228_ffb01544,1775460257.2638428,6.0,981.0,11.0,1.4165730476379395,30.0,-4.906355381011963,100.0,100.0,0.0,-30.498790740966797,817.0122963410179,28.58342695236206,-3.958554744720459,30.0,-33.95855474472046
run_1775460228_ffb01544,1775460259.7660043,6.0,981.0,11.0,2.0781373977661133,30.0,-4.162095546722412,100.0,100.0,0.0,-32.2162971496582,779.6304111780273,27.921862602233887,-3.958554744720459,30.0,-33.95855474472046
run_1775460228_ffb01544,1775460262.2852178,6.0,981.0,11.0,2.7839462757110596,30.0,-3.368060350418091,100.0,100.0,0.0,-34.50764083862305,740.7135803233818,27.21605372428894,-3.958554744720459,30.0,-33.95855474472046
run_1775460228_ffb01544,1775460264.785193,6.0,981.0,11.0,3.048701286315918,30.0,-2.623403549194336,100.0,100.0,0.0,-36.15678405761719,726.3725023542293,26.951298713684082,-3.958554744720459,30.0,-33.95855474472046
run_1775460228_ffb01544,1775460267.3014584,6.0,981.0,11.0,4.152003765106201,30.0,-1.828996181488037,100.0,100.0,0.0,-35.725128173828125,668.118909359084,25.8479962348938,-3.958554744720459,30.0,-33.95855474472046
run_1775460228_ffb01544,1775460269.7992575,6.0,981.0,11.0,4.505138397216797,30.0,-1.0343787670135498,100.0,100.0,0.0,-39.71242904663086,649.9879681450693,25.494861602783203,-3.958554744720459,30.0,-33.95855474472046
run_1775460228_ffb01544,1775460272.342052,6.0,981.0,11.0,5.211578845977783,30.0,-0.6369737386703491,100.0,100.0,0.0,-38.646419525146484,614.4658233091761,24.788421154022217,-3.958554744720459,30.0,-33.95855474472046
run_1775460228_ffb01544,1775460274.859534,6.0,981.0,11.0,6.227333068847656,30.0,0.5057496428489685,100.0,100.0,0.0,-39.09107208251953,565.1396930195042,23.772666931152344,-3.958554744720459,30.0,-33.95855474472046
run_1775460228_ffb01544,1775460277.3825119,6.0,981.0,11.0,6.5807342529296875,30.0,0.9033257961273193,100.0,100.0,0.0,-40.0,548.4620081319008,23.419265747070312,-3.958554744720459,30.0,-33.95855474472046
run_1775460228_ffb01544,1775460279.8846445,6.0,981.0,11.0,7.331868648529053,30.0,1.7483525276184082,100.0,100.0,0.0,-40.0,513.8441789675401,22.668131351470947,-3.958554744720459,30.0,-33.95855474472046
run_1775460228_ffb01544,1775460282.4069824,6.0,981.0,11.0,7.994763374328613,30.0,2.9416580200195312,100.0,100.0,0.0,-40.0,484.23043895178944,22.005236625671387,-3.958554744720459,30.0,-33.95855474472046
run_1775460228_ffb01544,1775460284.9297106,6.0,981.0,11.0,8.74625015258789,30.0,3.339531183242798,100.0,100.0,0.0,-40.0,451.72188257637026,21.25374984741211,-3.958554744720459,30.0,-33.95855474472046
run_1775460228_ffb01544,1775460287.4559433,6.0,981.0,11.0,9.497883796691895,30.0,4.185119152069092,100.0,100.0,0.0,-40.0,420.33676881394877,20.502116203308105,-3.958554744720459,30.0,-33.95855474472046
run_1775460228_ffb01544,1775460289.97067,6.0,981.0,11.0,10.249772071838379,30.0,5.030993461608887,100.0,100.0,0.0,-40.0,390.0715032143353,19.75022792816162,-3.958554744720459,30.0,-33.95855474472046
run_1775460228_ffb01544,1775460292.4690127,6.0,981.0,11.0,10.603660583496094,30.0,5.77749490737915,100.0,100.0,0.0,-40.0,376.2179827602231,19.396339416503906,-3.958554744720459,30.0,-33.95855474472046
run_1775460228_ffb01544,1775460294.9851565,6.0,981.0,11.0,11.70981216430664,30.0,6.6735382080078125,100.0,100.0,0.0,-40.0,334.53097106494533,18.29018783569336,-3.958554744720459,30.0,-33.95855474472046
run_1775460228_ffb01544,1775460297.5014114,6.0,981.0,11.0,12.063891410827637,30.0,7.520005702972412,100.0,100.0,0.0,-40.0,321.7039913225826,17.936108589172363,-3.958554744720459,30.0,-33.95855474472046
run_1775460228_ffb01544,1775460300.0024912,6.0,981.0,11.0,12.77212142944336,30.0,7.868636131286621,100.0,100.0,0.0,-40.0,296.7998000418447,17.22787857055664,-3.958554744720459,30.0,-33.95855474472046
run_1775460228_ffb01544,1775460302.5179875,6.0,981.0,11.0,13.569112777709961,30.0,9.113999366760254,100.0,100.0,0.0,-40.0,269.9740549116141,16.43088722229004,-3.958554744720459,30.0,-33.95855474472046
run_1775460228_ffb01544,1775460305.0279565,6.0,981.0,11.0,14.322036743164062,30.0,9.61229133605957,100.0,100.0,0.0,-40.0,245.79853188269772,15.677963256835938,-3.958554744720459,30.0,-33.95855474472046
run_1775460228_ffb01544,1775460307.5398076,6.0,981.0,11.0,14.98652172088623,30.0,10.35983657836914,100.0,100.0,0.0,-40.0,225.40453003742095,15.01347827911377,-3.958554744720459,30.0,-33.95855474472046
run_1775460228_ffb01544,1775460310.0486376,6.0,981.0,11.0,15.739794731140137,30.0,11.207268714904785,100.0,100.0,0.0,-40.0,203.3534543100186,14.260205268859863,-3.958554744720459,30.0,-33.95855474472046
run_1775460228_ffb01544,1775460312.5629184,6.0,981.0,11.0,16.094364166259766,30.0,12.054938316345215,100.0,100.0,0.0,-40.0,193.36670794060046,13.905635833740234,-3.958554744720459,30.0,-33.95855474472046
run_1775460228_ffb01544,1775460315.0687923,6.0,981.0,11.0,17.202613830566406,30.0,12.852941513061523,100.0,100.0,0.0,-40.0,163.77309276961023,12.797386169433594,-3.958554744720459,30.0,-33.95855474472046
run_1775460228_ffb01544,1775460317.561909,6.0,981.0,11.0,17.601665496826172,30.0,13.651138305664062,100.0,100.0,0.0,-40.0,153.71869845259062,12.398334503173828,-3.958554744720459,30.0,-33.95855474472046
