Date/Time;dkp_mult;dki_mult;dkd_mult;Kp_suggested;Ki_suggested;Kd_suggested;is_step;updated
15.01.26 12:30:20;-0,0000;0,0000;0,0000;8,0000;800,0002;10,0000;0;1
15.01.26 12:30:22;0,0000;0,0000;0,0000;8,0000;800,0002;10,0000;0;0
15.01.26 12:30:24;0,0000;0,0000;0,0000;8,0000;800,0002;10,0000;0;0
15.01.26 12:30:26;-0,0000;0,0000;0,0000;8,0000;800,0005;10,0001;0;1
15.01.26 12:30:28;0,0000;0,0000;0,0000;8,0000;800,0005;10,0001;0;0
15.01.26 12:30:30;0,0000;0,0000;0,0000;8,0000;800,0005;10,0001;0;0
15.01.26 12:30:32;-0,0000;0,0000;0,0000;8,0000;800,0007;10,0001;0;1
15.01.26 12:30:34;0,0000;0,0000;0,0000;8,0000;800,0007;10,0001;0;0
15.01.26 12:30:36;0,0000;0,0000;0,0000;8,0000;800,0007;10,0001;0;0
15.01.26 12:30:38;-0,0000;0,0000;0,0000;8,0000;800,0009;10,0001;0;1
15.01.26 12:30:41;0,0000;0,0000;0,0000;8,0000;800,0009;10,0001;0;0
15.01.26 12:30:43;0,0000;0,0000;0,0000;8,0000;800,0009;10,0001;0;0
15.01.26 12:30:45;-0,0000;0,0000;0,0000;8,0000;800,0011;10,0001;0;1
15.01.26 12:30:47;0,0000;0,0000;0,0000;8,0000;800,0011;10,0001;0;0
15.01.26 12:30:49;0,0000;0,0000;0,0000;8,0000;800,0011;10,0001;0;0
15.01.26 12:30:51;-0,0000;0,0000;0,0000;8,0000;800,0014;10,0002;0;1
15.01.26 12:30:53;0,0000;0,0000;0,0000;8,0000;800,0014;10,0002;0;0
15.01.26 12:30:55;0,0000;0,0000;0,0000;8,0000;800,0014;10,0002;0;0
15.01.26 12:30:57;-0,0000;0,0000;0,0000;8,0000;800,0016;10,0002;0;1
15.01.26 12:30:59;0,0000;0,0000;0,0000;8,0000;800,0016;10,0002;0;0
15.01.26 12:31:01;0,0000;0,0000;0,0000;8,0000;800,0016;10,0002;0;0
15.01.26 12:31:03;-0,0000;0,0000;0,0000;8,0000;800,0018;10,0002;0;1
15.01.26 12:31:05;0,0000;0,0000;0,0000;8,0000;800,0018;10,0002;0;0
15.01.26 12:31:07;0,0000;0,0000;0,0000;8,0000;800,0018;10,0002;0;0
15.01.26 12:31:09;-0,0000;0,0000;0,0000;8,0000;800,0020;10,0003;0;1
15.01.26 12:31:11;0,0000;0,0000;0,0000;8,0000;800,0020;10,0003;0;0
15.01.26 12:31:14;0,0000;0,0000;0,0000;8,0000;800,0020;10,0003;0;0
15.01.26 12:31:16;-0,0000;0,0000;0,0000;8,0000;800,0023;10,0003;0;1
15.01.26 12:31:18;0,0000;0,0000;0,0000;8,0000;800,0023;10,0003;0;0
15.01.26 12:31:20;0,0000;0,0000;0,0000;8,0000;800,0023;10,0003;0;0
15.01.26 12:31:22;-0,0000;0,0000;0,0000;8,0000;800,0025;10,0003;0;1
15.01.26 12:31:24;0,0000;0,0000;0,0000;8,0000;800,0025;10,0003;0;0
