Date/Time;Volume Temperature, °C;Volume Temperature Setpoint, °C;Temperature Control (P), %;Temperature Control (I), %;Temperature Control (D), %
15.01.26 12:32:38;59,99;60,00;0,10;5,27;0,03
15.01.26 12:32:40;59,99;60,00;-0,41;5,27;-0,12
15.01.26 12:32:43;60,04;60,00;-0,41;5,26;-0,11
15.01.26 12:32:45;60,04;60,00;0,10;5,26;0,05
15.01.26 12:32:47;59,99;60,00;-0,41;5,26;-0,10
15.01.26 12:32:49;59,99;60,00;0,10;5,26;0,05
15.01.26 12:32:51;59,99;60,00;0,10;5,26;0,05
15.01.26 12:32:53;59,99;60,00;0,10;5,26;0,04
15.01.26 12:32:55;59,99;60,00;0,10;5,26;0,04
15.01.26 12:32:57;59,99;60,00;0,10;5,26;0,03
15.01.26 12:32:59;59,99;60,00;0,10;5,26;-0,12
15.01.26 12:33:01;59,99;60,00;0,10;5,26;0,04
15.01.26 12:33:03;59,99;60,00;0,10;5,25;-0,12
15.01.26 12:33:05;59,99;60,00;0,10;5,25;0,04
15.01.26 12:33:07;59,99;60,00;0,10;5,25;0,03
15.01.26 12:33:09;59,99;60,00;0,10;5,25;0,03
15.01.26 12:33:12;59,99;60,00;0,10;5,25;0,03
15.01.26 12:33:14;59,99;60,00;0,10;5,25;0,03
15.01.26 12:33:16;59,99;60,00;0,10;5,25;0,02
15.01.26 12:33:18;59,99;60,00;0,10;5,25;0,02
15.01.26 12:33:20;59,99;60,00;0,10;5,26;0,02
15.01.26 12:33:22;59,99;60,00;0,10;5,26;0,02
15.01.26 12:33:24;59,99;60,00;0,10;5,26;0,02
15.01.26 12:33:26;59,99;60,00;0,10;5,26;0,01
15.01.26 12:33:28;59,99;60,00;0,10;5,26;0,01
15.01.26 12:33:30;59,99;60,00;0,10;5,26;-0,14
15.01.26 12:33:32;60,04;60,00;-0,41;5,25;0,02
15.01.26 12:33:34;59,99;60,00;0,10;5,25;-0,13
15.01.26 12:33:36;60,04;60,00;-0,41;5,25;0,03
15.01.26 12:33:38;59,99;60,00;0,10;5,25;0,03
15.01.26 12:33:40;59,99;60,00;0,10;5,25;0,02
15.01.26 12:33:42;59,99;60,00;0,10;5,25;0,02
15.01.26 12:33:44;59,99;60,00;0,10;5,25;0,02
15.01.26 12:33:47;59,99;60,00;-0,41;5,25;-0,13
15.01.26 12:33:49;60,04;60,00;0,10;5,25;0,02
15.01.26 12:33:51;59,99;60,00;0,10;5,25;0,02
15.01.26 12:33:53;59,99;60,00;0,10;5,25;0,02
15.01.26 12:33:55;59,99;60,00;0,10;5,25;0,02
15.01.26 12:33:57;59,99;60,00;0,10;5,25;0,02
15.01.26 12:33:59;59,99;60,00;0,10;5,25;0,01
15.01.26 12:34:01;59,99;60,00;0,10;5,25;-0,14
15.01.26 12:34:03;60,04;60,00;-0,41;5,25;-0,12
15.01.26 12:34:05;60,04;60,00;0,10;5,24;0,04
15.01.26 12:34:07;60,04;60,00;-0,41;5,24;-0,11
15.01.26 12:34:10;60,04;60,00;0,10;5,24;0,05
15.01.26 12:34:12;59,99;60,00;0,10;5,24;0,05
15.01.26 12:34:14;59,99;60,00;0,10;5,24;0,04
15.01.26 12:34:16;59,99;60,00;0,10;5,24;0,04
15.01.26 12:34:18;59,99;60,00;0,10;5,24;0,03
15.01.26 12:34:20;59,99;60,00;0,10;5,24;0,03
15.01.26 12:34:22;59,99;60,00;0,10;5,24;0,03
15.01.26 12:34:24;59,99;60,00;0,10;5,24;0,02
15.01.26 12:34:26;59,99;60,00;0,10;5,24;0,02
15.01.26 12:34:28;59,99;60,00;0,10;5,24;0,02
15.01.26 12:34:30;59,99;60,00;0,10;5,24;0,02
15.01.26 12:34:32;59,99;60,00;0,10;5,24;0,02
15.01.26 12:34:34;59,99;60,00;0,10;5,24;0,01
15.01.26 12:34:36;60,04;60,00;-0,41;5,24;-0,13
15.01.26 12:34:38;59,99;60,00;0,10;5,24;0,03
15.01.26 12:34:41;59,99;60,00;0,10;5,24;0,03
