run_id,timestamp,kp,ki,kd,temp,temp_ref,temp_raw,temp_u,temp_u_p,temp_u_i,temp_u_d,sq_error,mae,start_temp_measured,target_temp_measured,delta_temp_measured
run_1775499686_bef5117a,1775499688.0026348,6.0,981.0,11.0,-22.720211029052734,25.0,-30.30789566040039,100.0,100.0,0.0,-6.3584184646606445,2277.2185406573262,47.720211029052734,-22.720211029052734,25.0,-47.720211029052734
run_1775499686_bef5117a,1775499690.5986767,6.0,981.0,11.0,-22.20819091796875,25.0,-29.569374084472656,100.0,100.0,0.0,-10.264793395996094,2228.613289747387,47.20819091796875,-22.720211029052734,25.0,-47.720211029052734
run_1775499686_bef5117a,1775499693.5058846,6.0,981.0,11.0,-21.747323989868164,25.0,-29.372426986694336,100.0,100.0,0.0,-13.736116409301758,2185.3123002137036,46.747323989868164,-22.720211029052734,25.0,-47.720211029052734
run_1775499686_bef5117a,1775499696.411578,6.0,981.0,11.0,-21.08149528503418,25.0,-28.732206344604492,100.0,100.0,0.0,-16.622314453125,2123.5042077046273,46.08149528503418,-22.720211029052734,25.0,-47.720211029052734
run_1775499686_bef5117a,1775499699.3180425,6.0,981.0,11.0,-20.41555404663086,25.0,-27.747032165527344,100.0,100.0,0.0,-20.72600746154785,2062.5725493624486,45.41555404663086,-22.720211029052734,25.0,-47.720211029052734
run_1775499686_bef5117a,1775499702.5337932,6.0,981.0,11.0,-19.28826332092285,25.0,-27.007946014404297,100.0,100.0,0.0,-28.02109146118164,1961.4502679834004,44.28826332092285,-22.720211029052734,25.0,-47.720211029052734
run_1775499686_bef5117a,1775499705.4532266,6.0,981.0,11.0,-18.51945686340332,25.0,-26.268709182739258,100.0,100.0,0.0,-31.301197052001953,1893.9431256856224,43.51945686340332,-22.720211029052734,25.0,-47.720211029052734
run_1775499686_bef5117a,1775499708.030911,6.0,981.0,11.0,-17.647907257080078,25.0,-25.430679321289062,100.0,100.0,0.0,-33.49315643310547,1818.8439934085036,42.64790725708008,-22.720211029052734,25.0,-47.720211029052734
run_1775499686_bef5117a,1775499710.6459336,6.0,981.0,11.0,-16.82742691040039,25.0,-24.247251510620117,100.0,100.0,0.0,-36.18303680419922,1749.5336419448868,41.82742691040039,-22.720211029052734,25.0,-47.720211029052734
run_1775499686_bef5117a,1775499713.8419652,6.0,981.0,11.0,-15.955456733703613,25.0,-23.80332374572754,100.0,100.0,0.0,-40.0,1677.3494362662686,40.95545673370361,-22.720211029052734,25.0,-47.720211029052734
run_1775499686_bef5117a,1775499716.4440475,6.0,981.0,11.0,-15.08324909210205,25.0,-22.569942474365234,100.0,100.0,0.0,-40.0,1606.6668577794999,40.08324909210205,-22.720211029052734,25.0,-47.720211029052734
run_1775499686_bef5117a,1775499719.657846,6.0,981.0,11.0,-13.697527885437012,25.0,-21.632238388061523,100.0,100.0,0.0,-40.0,1497.4986644441751,38.69752788543701,-22.720211029052734,25.0,-47.720211029052734
run_1775499686_bef5117a,1775499722.2482684,6.0,981.0,11.0,-13.28686809539795,25.0,-20.74369239807129,100.0,100.0,0.0,-40.0,1465.8842685544014,38.28686809539795,-22.720211029052734,25.0,-47.720211029052734
run_1775499686_bef5117a,1775499724.8531249,6.0,981.0,11.0,-12.362617492675781,25.0,-20.348670959472656,100.0,100.0,0.0,-40.0,1395.9651859040023,37.36261749267578,-22.720211029052734,25.0,-47.720211029052734
run_1775499686_bef5117a,1775499727.4494324,6.0,981.0,11.0,-11.16851806640625,25.0,-19.06458282470703,100.0,100.0,0.0,-40.0,1308.1616991199553,36.16851806640625,-22.720211029052734,25.0,-47.720211029052734
run_1775499686_bef5117a,1775499730.0548534,6.0,981.0,11.0,-10.729413986206055,25.0,-18.175325393676758,100.0,100.0,0.0,-40.0,1276.5910237976968,35.729413986206055,-22.720211029052734,25.0,-47.720211029052734
run_1775499686_bef5117a,1775499732.6583245,6.0,981.0,11.0,-9.938827514648438,25.0,-17.681180953979492,100.0,100.0,0.0,-40.0,1220.7216680983547,34.93882751464844,-22.720211029052734,25.0,-47.720211029052734
run_1775499686_bef5117a,1775499735.2522209,6.0,981.0,11.0,-9.148025512695312,25.0,-16.396045684814453,100.0,100.0,0.0,-40.0,1166.08764641569,34.14802551269531,-22.720211029052734,25.0,-47.720211029052734
run_1775499686_bef5117a,1775499737.8478668,6.0,981.0,11.0,-8.400936126708984,25.0,-15.95105266571045,100.0,100.0,0.0,-40.0,1115.6225341404934,33.400936126708984,-22.720211029052734,25.0,-47.720211029052734
run_1775499686_bef5117a,1775499740.4535897,6.0,981.0,11.0,-7.609729290008545,25.0,-15.060945510864258,100.0,100.0,0.0,-40.0,1063.3944443676412,32.609729290008545,-22.720211029052734,25.0,-47.720211029052734
run_1775499686_bef5117a,1775499743.0518918,6.0,981.0,11.0,-6.774330139160156,25.0,-13.675848960876465,100.0,100.0,0.0,-40.0,1009.6080557923415,31.774330139160156,-22.720211029052734,25.0,-47.720211029052734
run_1775499686_bef5117a,1775499745.9507642,6.0,981.0,11.0,-5.98265266418457,25.0,-12.785090446472168,100.0,100.0,0.0,-40.0,959.9247661095033,30.98265266418457,-22.720211029052734,25.0,-47.720211029052734
run_1775499686_bef5117a,1775499748.548056,6.0,981.0,11.0,-5.190790176391602,25.0,-12.339638710021973,100.0,100.0,0.0,-40.0,911.4838114749036,30.1907901763916,-22.720211029052734,25.0,-47.720211029052734
run_1775499686_bef5117a,1775499751.1411202,6.0,981.0,11.0,-4.398681640625,25.0,-11.002899169921875,100.0,100.0,0.0,-40.0,864.2824822068214,29.398681640625,-22.720211029052734,25.0,-47.720211029052734
run_1775499686_bef5117a,1775499754.3667176,6.0,981.0,11.0,-3.210145950317383,25.0,-10.111413955688477,100.0,100.0,0.0,-40.0,795.8123345382082,28.210145950317383,-22.720211029052734,25.0,-47.720211029052734
run_1775499686_bef5117a,1775499756.9644406,6.0,981.0,11.0,-2.8138785362243652,25.0,-9.21970272064209,100.0,100.0,0.0,-40.0,773.6118392278424,27.813878536224365,-22.720211029052734,25.0,-47.720211029052734
run_1775499686_bef5117a,1775499759.55926,6.0,981.0,11.0,-2.0211234092712402,25.0,-8.773763656616211,100.0,100.0,0.0,-40.0,730.1411102990662,27.02112340927124,-22.720211029052734,25.0,-47.720211029052734
run_1775499686_bef5117a,1775499762.4571116,6.0,981.0,11.0,-0.8756842613220215,25.0,-7.485145092010498,100.0,100.0,0.0,-40.0,669.5510359916282,25.87568426132202,-22.720211029052734,25.0,-47.720211029052734
run_1775499686_bef5117a,1775499765.3587787,6.0,981.0,11.0,-0.5231304168701172,25.0,-6.592719078063965,100.0,100.0,0.0,-40.0,651.4301862765606,25.523130416870117,-22.720211029052734,25.0,-47.720211029052734
run_1775499686_bef5117a,1775499768.2635446,6.0,981.0,11.0,0.2702336311340332,25.0,-5.749621391296387,100.0,100.0,0.0,-40.0,611.5613446586942,24.729766368865967,-22.720211029052734,25.0,-47.720211029052734
run_1775499686_bef5117a,1775499770.8657403,6.0,981.0,11.0,1.460690975189209,25.0,-4.856722354888916,100.0,100.0,0.0,-40.0,554.0990693655388,23.53930902481079,-22.720211029052734,25.0,-47.720211029052734
run_1775499686_bef5117a,1775499773.4092855,6.0,981.0,11.0,2.2104506492614746,25.0,-4.013243198394775,100.0,100.0,0.0,-40.0,519.3635596097467,22.789549350738525,-22.720211029052734,25.0,-47.720211029052734
run_1775499686_bef5117a,1775499776.0094833,6.0,981.0,11.0,2.607499599456787,25.0,-3.119854688644409,100.0,100.0,0.0,-40.0,501.42407418832795,22.392500400543213,-22.720211029052734,25.0,-47.720211029052734
run_1775499686_bef5117a,1775499778.610243,6.0,981.0,11.0,3.7547738552093506,25.0,-2.275879144668579,100.0,100.0,0.0,-40.0,451.35963394329616,21.24522614479065,-22.720211029052734,25.0,-47.720211029052734
run_1775499686_bef5117a,1775499782.1473413,6.0,981.0,11.0,4.505138397216797,25.0,-1.431719183921814,100.0,100.0,0.0,-40.0,420.0393521172373,20.494861602783203,-22.720211029052734,25.0,-47.720211029052734
run_1775499686_bef5117a,1775499784.7443292,6.0,981.0,11.0,5.299887657165527,25.0,-0.5376265048980713,100.0,100.0,0.0,-40.0,388.09442632029914,19.700112342834473,-22.720211029052734,25.0,-47.720211029052734
run_1775499686_bef5117a,1775499787.3469667,6.0,981.0,11.0,5.697328090667725,25.0,0.30701321363449097,100.0,100.0,0.0,-40.0,372.5931428393253,19.302671909332275,-22.720211029052734,25.0,-47.720211029052734
run_1775499686_bef5117a,1775499790.240157,6.0,981.0,11.0,6.801617622375488,25.0,1.1518203020095825,100.0,100.0,0.0,-40.0,331.1811211622344,18.19838237762451,-22.720211029052734,25.0,-47.720211029052734
