run_id,timestamp,kp,ki,kd,temp,temp_ref,temp_raw,temp_u,temp_u_p,temp_u_i,temp_u_d,sq_error,mae,start_temp_measured,target_temp_measured,delta_temp_measured
run_1775495459_6fe9c0f8,1775495460.7104967,6.0,981.0,11.0,-5.146799564361572,15.0,-12.191140174865723,100.0,100.0,0.0,-1.5368353128433228,405.89353268655964,20.146799564361572,-5.146799564361572,15.0,-20.146799564361572
run_1775495459_6fe9c0f8,1775495463.2085886,6.0,981.0,11.0,-4.8387579917907715,15.0,-11.943602561950684,100.0,100.0,0.0,-3.1958346366882324,393.5763186568422,19.83875799179077,-5.146799564361572,15.0,-20.146799564361572
run_1775495459_6fe9c0f8,1775495465.7085261,6.0,981.0,11.0,-4.7067437171936035,15.0,-11.597082138061523,100.0,100.0,0.0,-5.616379737854004,388.35574793514957,19.706743717193604,-5.146799564361572,15.0,-20.146799564361572
run_1775495459_6fe9c0f8,1775495468.2051125,6.0,981.0,11.0,-4.35468053817749,15.0,-11.399015426635742,100.0,100.0,0.0,-8.299027442932129,374.6036587349065,19.35468053817749,-5.146799564361572,15.0,-20.146799564361572
run_1775495459_6fe9c0f8,1775495470.7281196,6.0,981.0,11.0,-3.914504051208496,15.0,-10.903817176818848,100.0,100.0,0.0,-9.407221794128418,357.7584635031826,18.914504051208496,-5.146799564361572,15.0,-20.146799564361572
run_1775495459_6fe9c0f8,1775495473.2367563,6.0,981.0,11.0,-3.3422131538391113,15.0,-10.259989738464355,100.0,100.0,0.0,-14.850202560424805,336.4367833808685,18.34221315383911,-5.146799564361572,15.0,-20.146799564361572
run_1775495459_6fe9c0f8,1775495475.7545583,6.0,981.0,11.0,-3.1220922470092773,15.0,-9.715139389038086,100.0,100.0,0.0,-17.781696319580078,328.41022740911376,18.122092247009277,-5.146799564361572,15.0,-20.146799564361572
run_1775495459_6fe9c0f8,1775495478.2514093,6.0,981.0,11.0,-2.2413711547851562,15.0,-9.0215425491333,100.0,100.0,0.0,-18.74626922607422,297.26487929705763,17.241371154785156,-5.146799564361572,15.0,-20.146799564361572
run_1775495459_6fe9c0f8,1775495480.7707033,6.0,981.0,11.0,-1.9330334663391113,15.0,-8.327733039855957,100.0,100.0,0.0,-24.443742752075195,286.72762237216034,16.93303346633911,-5.146799564361572,15.0,-20.146799564361572
run_1775495459_6fe9c0f8,1775495483.2869477,6.0,981.0,11.0,-1.2722172737121582,15.0,-7.931244373321533,100.0,100.0,0.0,-23.248689651489258,264.78505500289634,16.272217273712158,-5.146799564361572,15.0,-20.146799564361572
