run_id,timestamp,kp,ki,kd,temp,temp_ref,temp_raw,temp_u,temp_u_p,temp_u_i,temp_u_d,sq_error
run_1774490984_f904dec2,1774490985.2111325,24.0,700.0,6.0,25.194469451904297,0.0,21.843778610229492,-100.0,-100.0,-6.951516151428223,0.2898237705230713,634.7612909629388
run_1774490984_f904dec2,1774490987.6723914,24.0,700.0,6.0,25.194469451904297,0.0,21.793773651123047,-100.0,-100.0,-7.2512640953063965,0.3160925507545471,634.7612909629388
run_1774490984_f904dec2,1774490990.1241164,24.0,700.0,6.0,25.150020599365234,0.0,21.793773651123047,-100.0,-100.0,-7.700377464294434,0.27196115255355835,632.5235361484956
run_1774490984_f904dec2,1774490992.6007848,24.0,700.0,6.0,25.105575561523438,0.0,21.743772506713867,-100.0,-100.0,-7.999330520629883,0.2972935438156128,630.2899242753629
run_1774490984_f904dec2,1774490995.063066,24.0,700.0,6.0,25.061067581176758,0.0,21.693700790405273,-100.0,-100.0,-8.447039604187012,0.30561256408691406,628.0571083083087
run_1774490984_f904dec2,1774490997.5134122,24.0,700.0,6.0,25.061067581176758,0.0,21.693700790405273,-100.0,-100.0,-8.74531078338623,0.33149784803390503,628.0571083083087
run_1774490984_f904dec2,1774490999.9746165,24.0,700.0,6.0,25.01659393310547,0.0,21.643667221069336,-100.0,-100.0,-9.192032814025879,0.2852155566215515,625.8299720138893
run_1774490984_f904dec2,1774491002.4280753,24.0,700.0,6.0,25.01659393310547,0.0,21.643667221069336,-100.0,-100.0,-9.489612579345703,0.31135398149490356,625.8299720138893
run_1774490984_f904dec2,1774491004.894779,24.0,700.0,6.0,24.927698135375977,0.0,21.54366111755371,-100.0,-100.0,-9.786449432373047,0.31668320298194885,621.3901343284269
run_1774490984_f904dec2,1774491007.339108,24.0,700.0,6.0,24.927698135375977,0.0,21.54366111755371,-100.0,-100.0,-10.231584548950195,0.28647488355636597,621.3901343284269
run_1774490984_f904dec2,1774491009.8096874,24.0,700.0,6.0,24.883251190185547,0.0,21.4936580657959,-100.0,-100.0,-10.527949333190918,0.2957397997379303,619.1761897938704
run_1774490984_f904dec2,1774491012.2674322,24.0,700.0,6.0,24.838809967041016,0.0,21.443660736083984,-100.0,-100.0,-10.971846580505371,0.3187994956970215,616.9664805787761
run_1774490984_f904dec2,1774491014.725438,24.0,700.0,6.0,24.838809967041016,0.0,21.443660736083984,-100.0,-100.0,-11.267544746398926,0.2742900848388672,616.9664805787761
run_1774490984_f904dec2,1774491017.1862078,24.0,700.0,6.0,24.794336318969727,0.0,21.39362907409668,-100.0,-100.0,-11.710701942443848,0.2999502718448639,614.7591134981813
run_1774490984_f904dec2,1774491019.635661,24.0,700.0,6.0,24.794336318969727,0.0,21.39362907409668,-100.0,-100.0,-12.005879402160645,0.27133816480636597,614.7591134981813
run_1774490984_f904dec2,1774491022.0865443,24.0,700.0,6.0,24.749921798706055,0.0,21.34366226196289,-100.0,-100.0,-12.44797420501709,0.2826803922653198,612.5586290420651
run_1774490984_f904dec2,1774491024.5324483,24.0,700.0,6.0,24.749921798706055,0.0,21.34366226196289,-100.0,-100.0,-12.74249267578125,0.3102041780948639,612.5586290420651
run_1774490984_f904dec2,1774491026.9811468,24.0,700.0,6.0,24.705448150634766,0.0,21.293630599975586,-100.0,-100.0,-13.183670997619629,0.26689475774765015,610.3591683237028
run_1774490984_f904dec2,1774491029.4318755,24.0,700.0,6.0,24.661008834838867,0.0,21.243635177612305,-100.0,-100.0,-13.477495193481445,0.29426905512809753,608.1653567520007
run_1774490984_f904dec2,1774491031.8876593,24.0,700.0,6.0,24.661008834838867,0.0,21.243635177612305,-100.0,-100.0,-13.771078109741211,0.2531844973564148,608.1653567520007
run_1774490984_f904dec2,1774491034.3408785,24.0,700.0,6.0,24.661008834838867,0.0,21.243635177612305,-100.0,-100.0,-14.211210250854492,0.2824356257915497,608.1653567520007
run_1774490984_f904dec2,1774491036.7915556,24.0,700.0,6.0,24.616539001464844,0.0,21.193607330322266,-100.0,-100.0,-14.504257202148438,0.24300317466259003,605.9739924106398
run_1774490984_f904dec2,1774491039.2561398,24.0,700.0,6.0,24.57208251953125,0.0,21.143592834472656,-100.0,-100.0,-14.943345069885254,0.2705993950366974,603.7872393466532
run_1774490984_f904dec2,1774491041.7048914,24.0,700.0,6.0,24.57208251953125,0.0,21.143592834472656,-100.0,-100.0,-15.235884666442871,0.24478700757026672,603.7872393466532
run_1774490984_f904dec2,1774491044.1548216,24.0,700.0,6.0,24.527645111083984,0.0,21.093599319458008,-100.0,-100.0,-15.67391586303711,0.25888389348983765,601.6053746952821
run_1774490984_f904dec2,1774491046.6142588,24.0,700.0,6.0,24.527645111083984,0.0,21.0435733795166,-100.0,-100.0,-15.965678215026855,0.2875891327857971,601.6053746952821
run_1774490984_f904dec2,1774491049.092931,24.0,700.0,6.0,24.483177185058594,0.0,21.0435733795166,-100.0,-100.0,-16.402877807617188,0.24743713438510895,599.4259650749736
run_1774490984_f904dec2,1774491051.5529313,24.0,700.0,6.0,24.438722610473633,0.0,20.993562698364258,-100.0,-100.0,-16.69383430480957,0.27460822463035583,597.2511628316752
