run_id,timestamp,kp,ki,kd,temp,temp_ref,temp_raw,temp_u,temp_u_p,temp_u_i,temp_u_d,sq_error,mae
run_1775439099_2a20b7d8,1775439100.8650677,6.0,714.0,10.0,26.57305145263672,0.0,23.394681930541992,-81.61189270019531,-78.15603637695312,-3.5929250717163086,0.026256121695041656,706.1270635044784,26.57305145263672
run_1775439099_2a20b7d8,1775439103.3744516,6.0,714.0,10.0,26.57305145263672,0.0,23.394681930541992,-81.94413757324219,-78.15603637695312,-3.8118529319763184,0.023751569911837578,706.1270635044784,26.57305145263672
run_1775439099_2a20b7d8,1775439105.8786867,6.0,714.0,10.0,26.57305145263672,0.0,23.394681930541992,-82.16532897949219,-78.15603637695312,-4.140244960784912,0.020435476675629616,706.1270635044784,26.57305145263672
run_1775439099_2a20b7d8,1775439108.3933485,6.0,714.0,10.0,26.57305145263672,0.0,23.394681930541992,-82.4967269897461,-78.15603637695312,-4.359172821044922,0.018486151471734047,706.1270635044784,26.57305145263672
run_1775439099_2a20b7d8,1775439110.8937745,6.0,714.0,10.0,26.57305145263672,0.0,23.394681930541992,-82.71741485595703,-78.15603637695312,-4.687564373016357,0.015905193984508514,706.1270635044784,26.57305145263672
run_1775439099_2a20b7d8,1775439113.4148676,6.0,714.0,10.0,26.617523193359375,0.0,23.394681930541992,-83.04338836669922,-78.15603637695312,-4.906784534454346,0.019428277388215065,708.4925409490243,26.617523193359375
run_1775439099_2a20b7d8,1775439115.906853,6.0,714.0,10.0,26.617523193359375,0.0,23.444713592529297,-83.45796203613281,-78.15603637695312,-5.235395431518555,0.02042052336037159,708.4925409490243,26.617523193359375
run_1775439099_2a20b7d8,1775439118.4127233,6.0,714.0,10.0,26.617523193359375,0.0,23.444713592529297,-83.78508758544922,-78.28683471679688,-5.454524040222168,-0.04372956231236458,708.4925409490243,26.617523193359375
run_1775439099_2a20b7d8,1775439120.9047222,6.0,714.0,10.0,26.57305145263672,0.0,23.394681930541992,-83.8093032836914,-78.28683471679688,-5.782952308654785,-0.04618808627128601,706.1270635044784,26.57305145263672
run_1775439099_2a20b7d8,1775439123.4081972,6.0,714.0,10.0,26.617523193359375,0.0,23.394681930541992,-84.13706970214844,-78.15603637695312,-6.002080917358398,0.02104666642844677,708.4925409490243,26.617523193359375
run_1775439099_2a20b7d8,1775439125.9089432,6.0,714.0,10.0,26.617523193359375,0.0,23.444713592529297,-84.5589599609375,-78.28683471679688,-6.330372333526611,-0.04888742044568062,708.4925409490243,26.617523193359375
run_1775439099_2a20b7d8,1775439128.4091356,6.0,714.0,10.0,26.617523193359375,0.0,23.394681930541992,-84.68632507324219,-78.15603637695312,-6.549532890319824,0.019237857311964035,708.4925409490243,26.617523193359375
run_1775439099_2a20b7d8,1775439130.9232585,6.0,714.0,10.0,26.57305145263672,0.0,23.394681930541992,-84.90708923339844,-78.15603637695312,-6.87792444229126,0.016551949083805084,706.1270635044784,26.57305145263672
run_1775439099_2a20b7d8,1775439133.4281275,6.0,714.0,10.0,26.617523193359375,0.0,23.444713592529297,-85.42937469482422,-78.28683471679688,-7.097156524658203,-0.04538622125983238,708.4925409490243,26.617523193359375
run_1775439099_2a20b7d8,1775439135.9261,6.0,714.0,10.0,26.57305145263672,0.0,23.394681930541992,-85.4505386352539,-78.15603637695312,-7.425745010375977,0.02070760726928711,706.1270635044784,26.57305145263672
run_1775439099_2a20b7d8,1775439138.4400148,6.0,714.0,10.0,26.528583526611328,0.0,23.344655990600586,-85.58878326416016,-78.0252456665039,-7.644467830657959,0.08092918992042542,703.7657439283939,26.528583526611328
run_1775439099_2a20b7d8,1775439140.938034,6.0,714.0,10.0,26.57305145263672,0.0,23.394681930541992,-86.0059585571289,-78.15603637695312,-7.972840785980225,0.012799384072422981,706.1270635044784,26.57305145263672
run_1775439099_2a20b7d8,1775439143.4420493,6.0,714.0,10.0,26.57305145263672,0.0,23.344655990600586,-86.14244079589844,-78.0252456665039,-8.191600799560547,0.07440198957920074,706.1270635044784,26.57305145263672
run_1775439099_2a20b7d8,1775439145.9367235,6.0,714.0,10.0,26.617523193359375,0.0,23.444713592529297,-86.7533187866211,-78.28683471679688,-8.52027416229248,-0.05312268063426018,708.4925409490243,26.617523193359375
run_1775439099_2a20b7d8,1775439148.4536984,6.0,714.0,10.0,26.57305145263672,0.0,23.344655990600586,-86.6879653930664,-78.0252456665039,-8.739163398742676,0.07644350826740265,706.1270635044784,26.57305145263672
run_1775439099_2a20b7d8,1775439150.9685833,6.0,714.0,10.0,26.57305145263672,0.0,23.394681930541992,-87.10700225830078,-78.0252456665039,-9.067220687866211,0.06943825632333755,706.1270635044784,26.57305145263672
run_1775439099_2a20b7d8,1775439153.4558454,6.0,714.0,10.0,26.617523193359375,0.0,23.344655990600586,-87.24100494384766,-78.0252456665039,-9.286213874816895,0.07044993340969086,708.4925409490243,26.617523193359375
run_1775439099_2a20b7d8,1775439155.954611,6.0,714.0,10.0,26.57305145263672,0.0,23.394681930541992,-87.66006469726562,-78.0252456665039,-9.614344596862793,0.0656035766005516,706.1270635044784,26.57305145263672
run_1775439099_2a20b7d8,1775439158.45619,6.0,714.0,10.0,26.528583526611328,0.0,23.344655990600586,-87.79879760742188,-78.0252456665039,-9.832900047302246,0.059345684945583344,703.7657439283939,26.528583526611328
run_1775439099_2a20b7d8,1775439160.9541652,6.0,714.0,10.0,26.57305145263672,0.0,23.394681930541992,-88.21391296386719,-78.15603637695312,-10.161273002624512,-0.0057707130908966064,706.1270635044784,26.57305145263672
run_1775439099_2a20b7d8,1775439163.4510293,6.0,714.0,10.0,26.57305145263672,0.0,23.344655990600586,-88.34647369384766,-78.0252456665039,-10.380107879638672,0.05887559428811073,706.1270635044784,26.57305145263672
run_1775439099_2a20b7d8,1775439165.9432323,6.0,714.0,10.0,26.57305145263672,0.0,23.394681930541992,-88.75965118408203,-78.15603637695312,-10.70858383178711,-0.004279157146811485,706.1270635044784,26.57305145263672
run_1775439099_2a20b7d8,1775439168.477816,6.0,714.0,10.0,26.57305145263672,0.0,23.394681930541992,-89.08741760253906,-78.15603637695312,-10.927512168884277,-0.06908127665519714,706.1270635044784,26.57305145263672
run_1775439099_2a20b7d8,1775439170.9675934,6.0,714.0,10.0,26.617523193359375,0.0,23.444713592529297,-89.4991683959961,-78.15603637695312,-11.256189346313477,0.0016096904873847961,708.4925409490243,26.617523193359375
run_1775439099_2a20b7d8,1775439173.4696121,6.0,714.0,10.0,26.528583526611328,0.0,23.344655990600586,-89.43708801269531,-78.0252456665039,-11.474875450134277,0.059950921684503555,703.7657439283939,26.528583526611328
run_1775439099_2a20b7d8,1775439175.971773,6.0,714.0,10.0,26.617523193359375,0.0,23.444713592529297,-90.05162811279297,-78.28683471679688,-11.803256034851074,-0.06769741326570511,708.4925409490243,26.617523193359375
run_1775439099_2a20b7d8,1775439178.4883482,6.0,714.0,10.0,26.528583526611328,0.0,23.344655990600586,-89.98422241210938,-78.0252456665039,-12.022139549255371,0.06007140502333641,703.7657439283939,26.528583526611328
run_1775439099_2a20b7d8,1775439180.981147,6.0,714.0,10.0,26.528583526611328,0.0,23.344655990600586,-90.20880126953125,-78.0252456665039,-12.34997272491455,0.054341234266757965,703.7657439283939,26.528583526611328
run_1775439099_2a20b7d8,1775439183.4875355,6.0,714.0,10.0,26.528583526611328,0.0,23.444713592529297,-90.93458557128906,-78.28683471679688,-12.56871223449707,0.05431351438164711,703.7657439283939,26.528583526611328
run_1775439099_2a20b7d8,1775439185.9884183,6.0,714.0,10.0,26.528583526611328,0.0,23.344655990600586,-90.76111602783203,-78.0252456665039,-12.896818161010742,0.0491325668990612,703.7657439283939,26.528583526611328
run_1775439099_2a20b7d8,1775439188.4850852,6.0,714.0,10.0,26.57305145263672,0.0,23.344655990600586,-91.09262084960938,-78.0252456665039,-13.115602493286133,0.04586755111813545,706.1270635044784,26.57305145263672
run_1775439099_2a20b7d8,1775439190.9865901,6.0,714.0,10.0,26.528583526611328,0.0,23.344655990600586,-91.3157958984375,-78.0252456665039,-13.443458557128906,0.0414922721683979,703.7657439283939,26.528583526611328
run_1775439099_2a20b7d8,1775439193.4852767,6.0,714.0,10.0,26.528583526611328,0.0,23.344655990600586,-91.64974212646484,-78.0252456665039,-13.662028312683105,0.03569929674267769,703.7657439283939,26.528583526611328
run_1775439099_2a20b7d8,1775439195.9791698,6.0,714.0,10.0,26.528583526611328,0.0,23.344655990600586,-91.87188720703125,-78.0252456665039,-13.989883422851562,0.03229396417737007,703.7657439283939,26.528583526611328
run_1775439099_2a20b7d8,1775439198.4782336,6.0,714.0,10.0,26.528583526611328,0.0,23.344655990600586,-92.2044906616211,-78.0252456665039,-14.208454132080078,0.027785221114754677,703.7657439283939,26.528583526611328
run_1775439099_2a20b7d8,1775439200.975151,6.0,714.0,10.0,26.57305145263672,0.0,23.394681930541992,-92.62142944335938,-78.15603637695312,-14.536541938781738,-0.0364416278898716,706.1270635044784,26.57305145263672
run_1775439099_2a20b7d8,1775439203.470354,6.0,714.0,10.0,26.528583526611328,0.0,23.344655990600586,-92.75302124023438,-78.0252456665039,-14.755165100097656,0.09083845466375351,703.7657439283939,26.528583526611328
run_1775439099_2a20b7d8,1775439205.9715288,6.0,714.0,10.0,26.48408317565918,0.0,23.294593811035156,-92.78144836425781,-77.89436340332031,-15.082575798034668,0.0821734070777893,701.4066616552336,26.48408317565918
run_1775439099_2a20b7d8,1775439208.4739819,6.0,714.0,10.0,26.48408317565918,0.0,23.24453353881836,-92.92506408691406,-77.76348876953125,-15.300704956054688,0.1323194056749344,701.4066616552336,26.48408317565918
run_1775439099_2a20b7d8,1775439210.9697793,6.0,714.0,10.0,26.439584732055664,0.0,23.24453353881836,-93.15616607666016,-77.76348876953125,-15.627442359924316,0.11969751119613647,699.051640803551,26.439584732055664
run_1775439099_2a20b7d8,1775439213.471126,6.0,714.0,10.0,26.395118713378906,0.0,23.194509506225586,-93.3078842163086,-77.63269805908203,-15.8450345993042,0.09809552878141403,696.7022918933653,26.395118713378906
run_1775439099_2a20b7d8,1775439215.9583642,6.0,714.0,10.0,26.350648880004883,0.0,23.144479751586914,-93.3430404663086,-77.50190734863281,-16.171159744262695,0.2106626331806183,694.3566963973026,26.350648880004883
run_1775439099_2a20b7d8,1775439218.4552562,6.0,714.0,10.0,26.350648880004883,0.0,23.09445571899414,-93.50521850585938,-77.37112426757812,-16.38811492919922,0.25402143597602844,694.3566963973026,26.350648880004883
run_1775439099_2a20b7d8,1775439220.9584975,6.0,714.0,10.0,26.306182861328125,0.0,23.09445571899414,-93.74617004394531,-77.2403335571289,-16.713037490844727,0.2813795208930969,692.0152567336336,26.306182861328125
run_1775439099_2a20b7d8,1775439223.4569352,6.0,714.0,10.0,26.21722412109375,0.0,22.944320678710938,-93.528564453125,-76.9786148071289,-16.92900276184082,0.37905845046043396,687.34284061566,26.21722412109375
run_1775439099_2a20b7d8,1775439225.9557896,6.0,714.0,10.0,26.128292083740234,0.0,22.894329071044922,-93.5866928100586,-76.84791564941406,-17.252092361450195,0.3858470022678375,682.6876472132426,26.128292083740234
run_1775439099_2a20b7d8,1775439228.4681058,6.0,714.0,10.0,26.083799362182617,0.0,22.844274520874023,-93.77410125732422,-76.71705627441406,-17.467086791992188,0.41003748774528503,680.3645891665983,26.083799362182617
run_1775439099_2a20b7d8,1775439230.9818518,6.0,714.0,10.0,25.950355529785156,0.0,22.694150924682617,-93.44829559326172,-76.19388580322266,-17.788175582885742,0.5944302082061768,673.420952122251,25.950355529785156
run_1775439099_2a20b7d8,1775439233.4881847,6.0,714.0,10.0,25.905921936035156,0.0,22.594112396240234,-93.46388244628906,-76.06303405761719,-18.00143051147461,0.69814532995224,671.1167913559475,25.905921936035156
run_1775439099_2a20b7d8,1775439235.997917,6.0,714.0,10.0,25.77248764038086,0.0,22.494049072265625,-93.3512954711914,-75.80142974853516,-18.320049285888672,0.6315496563911438,664.2211191735842,25.77248764038086
run_1775439099_2a20b7d8,1775439238.4928002,6.0,714.0,10.0,25.683574676513672,0.0,22.343971252441406,-93.18637084960938,-75.4090805053711,-18.531557083129883,0.7814670205116272,659.6460081640544,25.683574676513672
run_1775439099_2a20b7d8,1775439240.9873316,6.0,714.0,10.0,25.59463119506836,0.0,22.293960571289062,-93.27757263183594,-75.14759063720703,-18.84777069091797,0.7697254419326782,655.0851460115664,25.59463119506836
run_1775439099_2a20b7d8,1775439243.4862115,6.0,714.0,10.0,25.505664825439453,0.0,22.093883514404297,-92.92575073242188,-74.7552490234375,-19.057924270629883,0.8440358638763428,650.5389381876594,25.505664825439453
run_1775439099_2a20b7d8,1775439245.983847,6.0,714.0,10.0,25.372303009033203,0.0,22.043842315673828,-93.02595520019531,-74.23212432861328,-19.37128448486328,1.0136332511901855,643.7537599821953,25.372303009033203
run_1775439099_2a20b7d8,1775439248.4847355,6.0,714.0,10.0,25.194469451904297,0.0,21.843778610229492,-92.70127868652344,-74.10137939453125,-19.57901954650879,1.056837558746338,634.7612909629388,25.194469451904297
run_1775439099_2a20b7d8,1775439251.0034893,6.0,714.0,10.0,25.061067581176758,0.0,21.693700790405273,-92.42610168457031,-73.44757080078125,-19.88895606994629,1.147163987159729,628.0571083083087,25.061067581176758
run_1775439099_2a20b7d8,1775439253.5004456,6.0,714.0,10.0,24.972171783447266,0.0,21.54366111755371,-92.31070709228516,-73.31675720214844,-20.094520568847656,1.1736067533493042,623.6093635819998,24.972171783447266
run_1775439099_2a20b7d8,1775439256.0113823,6.0,714.0,10.0,24.794336318969727,0.0,21.39362907409668,-92.04212188720703,-72.92451477050781,-20.401371002197266,1.1238617897033691,614.7591134981813,24.794336318969727
run_1775439099_2a20b7d8,1775439258.516027,6.0,714.0,10.0,24.705448150634766,0.0,21.293630599975586,-92.1319351196289,-72.66307830810547,-20.604955673217773,1.211302399635315,610.3591683237028,24.705448150634766
run_1775439099_2a20b7d8,1775439261.0077617,6.0,714.0,10.0,24.616539001464844,0.0,21.193607330322266,-92.0575942993164,-72.14013671875,-20.909162521362305,1.2213447093963623,605.9739924106398,24.616539001464844
run_1775439099_2a20b7d8,1775439263.5015616,6.0,714.0,10.0,24.438722610473633,0.0,20.89356231689453,-91.3714828491211,-71.61715698242188,-21.110578536987305,1.2899452447891235,597.2511628316752,24.438722610473633
run_1775439099_2a20b7d8,1775439266.003155,6.0,714.0,10.0,24.260963439941406,0.0,20.793582916259766,-91.31419372558594,-71.22504425048828,-21.410661697387695,1.3497414588928223,588.5943470341736,24.260963439941406
run_1775439099_2a20b7d8,1775439268.503505,6.0,714.0,10.0,24.172046661376953,0.0,20.693553924560547,-91.42103576660156,-71.09425354003906,-21.609962463378906,1.2832276821136475,584.2878397997847,24.172046661376953
run_1775439099_2a20b7d8,1775439271.0024152,6.0,714.0,10.0,23.994287490844727,0.0,20.493574142456055,-90.96542358398438,-70.30999755859375,-21.907398223876953,1.4761600494384766,575.7258321933077,23.994287490844727
run_1775439099_2a20b7d8,1775439273.513044,6.0,714.0,10.0,23.905399322509766,0.0,20.293590545654297,-90.69169616699219,-70.04859924316406,-22.1040096282959,1.4541898965835571,571.4681167686504,23.905399322509766
run_1775439099_2a20b7d8,1775439276.028936,6.0,714.0,10.0,23.72765350341797,0.0,20.19361114501953,-90.63875579833984,-69.78721618652344,-22.39771270751953,1.377618670463562,563.001540778263,23.72765350341797
run_1775439099_2a20b7d8,1775439278.5250812,6.0,714.0,10.0,23.638790130615234,0.0,19.943653106689453,-90.1663589477539,-69.13373565673828,-22.592342376708984,1.614141821861267,558.7923988392722,23.638790130615234
run_1775439099_2a20b7d8,1775439281.0335715,6.0,714.0,10.0,23.416608810424805,0.0,19.843685150146484,-90.12274169921875,-68.61099243164062,-22.88172149658203,1.5857276916503906,548.3375681804646,23.416608810424805
run_1775439099_2a20b7d8,1775439283.533049,6.0,714.0,10.0,23.23885154724121,0.0,19.543746948242188,-89.47340393066406,-68.08822631835938,-23.073396682739258,1.605678677558899,540.0442212347152,23.23885154724121
run_1775439099_2a20b7d8,1775439286.0641098,6.0,714.0,10.0,23.10558319091797,0.0,19.4937801361084,-89.63162994384766,-67.6962661743164,-23.35902214050293,1.6415553092956543,533.867974592431,23.10558319091797
run_1775439099_2a20b7d8,1775439288.564037,6.0,714.0,10.0,22.927886962890625,0.0,19.293872833251953,-89.37397003173828,-67.4349594116211,-23.54824447631836,1.6560760736465454,525.6880005830899,22.927886962890625
run_1775439099_2a20b7d8,1775439291.0640826,6.0,714.0,10.0,22.705760955810547,0.0,19.043981552124023,-88.748779296875,-66.5203628540039,-23.829784393310547,1.8133090734481812,515.5515805824107,22.705760955810547
run_1775439099_2a20b7d8,1775439293.5650609,6.0,714.0,10.0,22.61692237854004,0.0,18.894044876098633,-88.70248413085938,-66.38966369628906,-24.015947341918945,1.7491427659988403,511.5251778769052,22.61692237854004
run_1775439099_2a20b7d8,1775439296.0665884,6.0,714.0,10.0,22.350419998168945,0.0,18.644222259521484,-88.07830810546875,-65.73653411865234,-24.2934513092041,1.768686294555664,499.5412740945503,22.350419998168945
run_1775439099_2a20b7d8,1775439298.5644748,6.0,714.0,10.0,22.305980682373047,0.0,18.54429054260254,-88.22701263427734,-65.47527313232422,-24.47725486755371,1.7718466520309448,497.55677420239954,22.305980682373047
run_1775439099_2a20b7d8,1775439301.0654216,6.0,714.0,10.0,22.172725677490234,0.0,18.44431495666504,-88.18892669677734,-64.82206726074219,-24.751310348510742,1.7948575019836426,491.6297639692348,22.172725677490234
run_1775439099_2a20b7d8,1775439303.563368,6.0,714.0,10.0,21.950687408447266,0.0,18.144590377807617,-87.55078887939453,-64.43030548095703,-24.93239402770996,1.7233203649520874,481.83267770336533,21.950687408447266
run_1775439099_2a20b7d8,1775439306.0674515,6.0,714.0,10.0,21.817445755004883,0.0,18.044626235961914,-87.51451110839844,-63.90776062011719,-25.202465057373047,1.8100477457046509,476.0009392725806,21.817445755004883
run_1775439099_2a20b7d8,1775439308.5675716,6.0,714.0,10.0,21.59540557861328,0.0,17.794830322265625,-87.07302856445312,-63.515899658203125,-25.38086700439453,1.7985459566116333,466.36154210480163,21.59540557861328
run_1775439099_2a20b7d8,1775439311.0769417,6.0,714.0,10.0,21.46221160888672,0.0,17.644987106323242,-86.84264373779297,-62.862892150878906,-25.64679718017578,1.8805984258651733,460.62652714463184,21.46221160888672
run_1775439099_2a20b7d8,1775439313.579807,6.0,714.0,10.0,21.373382568359375,0.0,17.395221710205078,-86.40058898925781,-62.47116470336914,-25.822601318359375,1.9298981428146362,456.8214824134484,21.373382568359375
run_1775439099_2a20b7d8,1775439316.0969746,6.0,714.0,10.0,21.06261444091797,0.0,17.19544219970703,-85.97984313964844,-61.9488639831543,-26.083850860595703,1.8699967861175537,443.63372708676616,21.06261444091797
run_1775439099_2a20b7d8,1775439318.6053238,6.0,714.0,10.0,21.018199920654297,0.0,16.995641708374023,-85.73702239990234,-61.426509857177734,-26.25693130493164,1.916521430015564,441.7647279045923,21.018199920654297
run_1775439099_2a20b7d8,1775439321.0984368,6.0,714.0,10.0,20.840633392333984,0.0,16.945711135864258,-85.68766784667969,-61.03486251831055,-26.51447868347168,1.8616719245910645,434.3320001936663,20.840633392333984
run_1775439099_2a20b7d8,1775439323.6102593,6.0,714.0,10.0,20.57428741455078,0.0,16.646072387695312,-85.26713562011719,-60.51260757446289,-26.68449592590332,1.8356150388717651,423.30130261654267,20.57428741455078
run_1775439099_2a20b7d8,1775439326.1057785,6.0,714.0,10.0,20.396717071533203,0.0,16.446306228637695,-84.82887268066406,-59.85982894897461,-26.937597274780273,1.9685580730438232,416.026067296174,20.396717071533203
run_1775439099_2a20b7d8,1775439328.5976367,6.0,714.0,10.0,20.35234260559082,0.0,16.296524047851562,-84.79631805419922,-59.5987548828125,-27.10501480102539,1.9421385526657104,414.21784953534734,20.35234260559082
run_1775439099_2a20b7d8,1775439331.095474,6.0,714.0,10.0,20.086040496826172,0.0,16.09679412841797,-84.37147521972656,-59.07658767700195,-27.354045867919922,1.8798046112060547,403.44902284014097,20.086040496826172
run_1775439099_2a20b7d8,1775439333.5942044,6.0,714.0,10.0,19.952898025512695,0.0,15.897062301635742,-84.12773132324219,-58.55441665649414,-27.51850700378418,2.1085402965545654,398.1181396165084,19.952898025512695
run_1775439099_2a20b7d8,1775439336.0970726,6.0,714.0,10.0,19.730985641479492,0.0,15.697358131408691,-83.70842742919922,-57.77128982543945,-27.762592315673828,2.0340514183044434,389.3117943842699,19.730985641479492
run_1775439099_2a20b7d8,1775439338.6011698,6.0,714.0,10.0,19.597858428955078,0.0,15.447741508483887,-83.27367401123047,-57.37971496582031,-27.924043655395508,1.9308348894119263,384.0760550013656,19.597858428955078
run_1775439099_2a20b7d8,1775439341.1115427,6.0,714.0,10.0,19.420364379882812,0.0,15.347909927368164,-83.02706146240234,-56.85772705078125,-28.164335250854492,1.995001196861267,377.15055264742114,19.420364379882812
run_1775439099_2a20b7d8,1775439343.6130269,6.0,714.0,10.0,19.24289321899414,0.0,15.148255348205566,-82.9923095703125,-56.596744537353516,-28.323135375976562,1.9599746465682983,370.2889394376107,19.24289321899414
