run_id,timestamp,kp,ki,kd,temp,temp_ref,temp_raw,temp_u,temp_u_p,temp_u_i,temp_u_d,sq_error
run_1775164108_b993e7b2,1775164109.5796556,34.0,404.0,18.0,26.928926467895508,0.0,23.795042037963867,-87.09407043457031,-79.20272064208984,-8.119047164916992,0.030107008293271065,725.1670807133232
run_1775164108_b993e7b2,1775164112.062926,34.0,404.0,18.0,26.928926467895508,0.0,23.795042037963867,-87.68663024902344,-79.20272064208984,-8.511141777038574,0.027235116809606552,725.1670807133232
run_1775164108_b993e7b2,1775164114.5355363,34.0,404.0,18.0,26.928926467895508,0.0,23.795042037963867,-88.0813217163086,-79.20272064208984,-9.099283218383789,0.023432668298482895,725.1670807133232
run_1775164108_b993e7b2,1775164117.0415277,34.0,404.0,18.0,26.928926467895508,0.0,23.795042037963867,-88.67290496826172,-79.20272064208984,-9.491376876831055,0.02119744010269642,725.1670807133232
run_1775164108_b993e7b2,1775164119.5215194,34.0,404.0,18.0,26.928926467895508,0.0,23.795042037963867,-89.0670166015625,-79.20272064208984,-10.07951831817627,0.01823793724179268,725.1670807133232
run_1775164108_b993e7b2,1775164122.0030544,34.0,404.0,18.0,26.97340202331543,0.0,23.845077514648438,-89.89888763427734,-79.33353424072266,-10.47209358215332,-0.09325258433818817,727.5644167113969
run_1775164108_b993e7b2,1775164124.512045,34.0,404.0,18.0,26.97340202331543,0.0,23.845077514648438,-90.28900909423828,-79.20272064208984,-11.060651779174805,0.02881622314453125,727.5644167113969
run_1775164108_b993e7b2,1775164127.0024443,34.0,404.0,18.0,26.928926467895508,0.0,23.795042037963867,-90.62940216064453,-79.20272064208984,-11.64879322052002,0.024793023243546486,725.1670807133232
run_1775164108_b993e7b2,1775164130.0012693,34.0,404.0,18.0,26.928926467895508,0.0,23.795042037963867,-91.22118377685547,-79.20272064208984,-12.040886878967285,0.022428033873438835,725.1670807133232
run_1775164108_b993e7b2,1775164132.4871128,34.0,404.0,18.0,26.97340202331543,0.0,23.845077514648438,-91.86070251464844,-79.33353424072266,-12.629408836364746,0.026033006608486176,727.5644167113969
run_1775164108_b993e7b2,1775164134.9607353,34.0,404.0,18.0,26.928926467895508,0.0,23.795042037963867,-92.2006607055664,-79.20272064208984,-13.021488189697266,0.02354973554611206,725.1670807133232
run_1775164108_b993e7b2,1775164137.4500246,34.0,404.0,18.0,26.928926467895508,0.0,23.795042037963867,-92.59498596191406,-79.20272064208984,-13.609607696533203,0.020261824131011963,725.1670807133232
run_1775164108_b993e7b2,1775164139.9404163,34.0,404.0,18.0,26.884422302246094,0.0,23.74497413635254,-92.94696044921875,-79.07183074951172,-14.001091957092285,0.12597042322158813,722.7721625255072
run_1775164108_b993e7b2,1775164142.4166505,34.0,404.0,18.0,26.928926467895508,0.0,23.795042037963867,-93.59160614013672,-79.20272064208984,-14.589055061340332,0.003930727951228619,725.1670807133232
run_1775164108_b993e7b2,1775164144.9204893,34.0,404.0,18.0,26.928926467895508,0.0,23.845077514648438,-94.42887878417969,-79.33353424072266,-14.98116683959961,-0.1141735315322876,725.1670807133232
run_1775164108_b993e7b2,1775164147.4034357,34.0,404.0,18.0,26.928926467895508,0.0,23.795042037963867,-94.56651306152344,-79.20272064208984,-15.569646835327148,0.009339097887277603,725.1670807133232
run_1775164108_b993e7b2,1775164149.8896368,34.0,404.0,18.0,26.928926467895508,0.0,23.795042037963867,-95.156005859375,-79.20272064208984,-15.961726188659668,0.00844824593514204,725.1670807133232
run_1775164108_b993e7b2,1775164152.3810194,34.0,404.0,18.0,26.97340202331543,0.0,23.845077514648438,-95.80046844482422,-79.33353424072266,-16.54999351501465,0.009994879364967346,727.5644167113969
run_1775164108_b993e7b2,1775164154.8568096,34.0,404.0,18.0,26.928926467895508,0.0,23.795042037963867,-95.89141082763672,-79.07183074951172,-16.941791534423828,0.12221593409776688,725.1670807133232
run_1775164108_b993e7b2,1775164157.3332686,34.0,404.0,18.0,26.884422302246094,0.0,23.74497413635254,-96.28594207763672,-79.07183074951172,-17.52947235107422,0.11378791183233261,722.7721625255072
run_1775164108_b993e7b2,1775164159.8188598,34.0,404.0,18.0,26.928926467895508,0.0,23.795042037963867,-97.37423706054688,-79.33353424072266,-17.921751022338867,-0.11894891411066055,725.1670807133232
