Date/Time;dkp_mult;dki_mult;dkd_mult;Kp_suggested;Ki_suggested;Kd_suggested;is_step;updated
18.01.26 23:34:14;0,0800;0,1500;0,0000;15,2400;1030,0000;6,0000;0;1
18.01.26 23:34:16;0,0000;0,0000;0,0000;15,2400;1030,0000;6,0000;0;0
18.01.26 23:34:18;0,0000;0,0000;0,0000;15,2400;1030,0000;6,0000;0;0
18.01.26 23:34:20;0,0440;0,1500;0,0000;15,3741;1060,9000;6,0000;0;1
18.01.26 23:34:22;0,0000;0,0000;0,0000;15,3741;1060,9000;6,0000;0;0
18.01.26 23:34:24;0,0000;0,0000;0,0000;15,3741;1060,9000;6,0000;0;0
18.01.26 23:34:26;0,0440;0,1500;0,0000;15,5094;1092,7270;6,0000;0;1
18.01.26 23:34:28;0,0000;0,0000;0,0000;15,5094;1092,7270;6,0000;0;0
18.01.26 23:34:30;0,0000;0,0000;0,0000;15,5094;1092,7270;6,0000;0;0
18.01.26 23:34:32;0,0440;0,1500;0,0000;15,6459;1125,5088;6,0000;0;1
18.01.26 23:34:34;0,0000;0,0000;0,0000;15,6459;1125,5088;6,0000;0;0
18.01.26 23:34:36;0,0000;0,0000;0,0000;15,6459;1125,5088;6,0000;0;0
18.01.26 23:34:38;0,0440;0,1500;0,0000;15,7836;1159,2741;6,0000;0;1
18.01.26 23:34:41;0,0000;0,0000;0,0000;15,7836;1159,2741;6,0000;0;0
18.01.26 23:34:43;0,0000;0,0000;0,0000;15,7836;1159,2741;6,0000;0;0
18.01.26 23:34:45;0,0440;0,1500;0,0000;15,9225;1194,0523;6,0000;0;1
18.01.26 23:34:47;0,0000;0,0000;0,0000;15,9225;1194,0523;6,0000;0;0
18.01.26 23:34:49;0,0000;0,0000;0,0000;15,9225;1194,0523;6,0000;0;0
18.01.26 23:34:51;0,0000;0,1500;0,0000;15,9225;1229,8739;6,0000;0;1
18.01.26 23:34:53;0,0000;0,0000;0,0000;15,9225;1229,8739;6,0000;0;0
18.01.26 23:34:55;0,0000;0,0000;0,0000;15,9225;1229,8739;6,0000;0;0
18.01.26 23:34:57;0,0000;0,1500;0,0000;15,9225;1266,7701;6,0000;0;1
18.01.26 23:34:59;0,0000;0,0000;0,0000;15,9225;1266,7701;6,0000;0;0
18.01.26 23:35:01;0,0000;0,0000;0,0000;15,9225;1266,7701;6,0000;0;0
18.01.26 23:35:03;0,0000;0,1500;0,0000;15,9225;1304,7732;6,0000;0;1
18.01.26 23:35:05;0,0000;0,0000;0,0000;15,9225;1304,7732;6,0000;0;0
18.01.26 23:35:07;0,0000;0,0000;0,0000;15,9225;1304,7732;6,0000;0;0
18.01.26 23:35:10;0,0000;0,1500;0,0000;15,9225;1343,9164;6,0000;0;1
18.01.26 23:35:12;0,0000;0,0000;0,0000;15,9225;1343,9164;6,0000;0;0
18.01.26 23:35:14;0,0000;0,0000;0,0000;15,9225;1343,9164;6,0000;0;0
18.01.26 23:35:16;0,0000;0,1500;0,0000;15,9225;1384,2339;6,0000;0;1
18.01.26 23:35:18;0,0000;0,0000;0,0000;15,9225;1384,2339;6,0000;0;0
18.01.26 23:35:20;0,0000;0,0000;0,0000;15,9225;1384,2339;6,0000;0;0
18.01.26 23:35:22;0,0000;0,1500;0,0000;15,9225;1425,7609;6,0000;0;1
18.01.26 23:35:24;0,0000;0,0000;0,0000;15,9225;1425,7609;6,0000;0;0
18.01.26 23:35:26;0,0000;0,0000;0,0000;15,9225;1425,7609;6,0000;0;0
18.01.26 23:35:28;0,0000;0,1500;0,0000;15,9225;1468,5337;6,0000;0;1
18.01.26 23:35:30;0,0000;0,0000;0,0000;15,9225;1468,5337;6,0000;0;0
18.01.26 23:35:32;0,0000;0,0000;0,0000;15,9225;1468,5337;6,0000;0;0
18.01.26 23:35:34;0,0000;0,1500;0,0000;15,9225;1512,5897;6,0000;0;1
18.01.26 23:35:36;0,0000;0,0000;0,0000;15,9225;1512,5897;6,0000;0;0
18.01.26 23:35:38;0,0000;0,0000;0,0000;15,9225;1512,5897;6,0000;0;0
18.01.26 23:35:41;0,0000;0,1500;0,0000;15,9225;1557,9674;6,0000;0;1
18.01.26 23:35:43;0,0000;0,0000;0,0000;15,9225;1557,9674;6,0000;0;0
18.01.26 23:35:45;0,0000;0,0000;0,0000;15,9225;1557,9674;6,0000;0;0
18.01.26 23:35:47;0,0000;0,1500;0,0000;15,9225;1604,7064;6,0000;0;1
18.01.26 23:35:49;0,0000;0,0000;0,0000;15,9225;1604,7064;6,0000;0;0
18.01.26 23:35:51;0,0000;0,0000;0,0000;15,9225;1604,7064;6,0000;0;0
18.01.26 23:35:53;-0,0000;0,1500;0,0000;15,9224;1652,8476;6,0000;0;1
18.01.26 23:35:55;0,0000;0,0000;0,0000;15,9224;1652,8476;6,0000;0;0
18.01.26 23:35:57;0,0000;0,0000;0,0000;15,9224;1652,8476;6,0000;0;0
18.01.26 23:35:59;-0,0000;0,1500;0,0000;15,9223;1702,4331;6,0000;0;1
18.01.26 23:36:01;0,0000;0,0000;0,0000;15,9223;1702,4331;6,0000;0;0
18.01.26 23:36:03;0,0000;0,0000;0,0000;15,9223;1702,4331;6,0000;0;0
18.01.26 23:36:05;-0,0000;0,1500;0,0000;15,9222;1753,5061;6,0000;0;1
18.01.26 23:36:07;0,0000;0,0000;0,0000;15,9222;1753,5061;6,0000;0;0
18.01.26 23:36:09;0,0000;0,0000;0,0000;15,9222;1753,5061;6,0000;0;0
18.01.26 23:36:12;-0,0000;0,1500;0,0000;15,9222;1802,8048;6,0000;0;1
18.01.26 23:36:14;0,0000;0,0000;0,0000;15,9222;1802,8048;6,0000;0;0
18.01.26 23:36:16;0,0000;0,0000;0,0000;15,9222;1802,8048;6,0000;0;0
18.01.26 23:36:18;-0,0000;0,1500;0,0000;15,9221;1842,2439;6,0000;0;1
18.01.26 23:36:20;0,0000;0,0000;0,0000;15,9221;1842,2439;6,0000;0;0
18.01.26 23:36:22;0,0000;0,0000;0,0000;15,9221;1842,2439;6,0000;0;0
18.01.26 23:36:24;-0,0000;0,0872;0,0000;15,9220;1873,7951;6,0000;0;1
18.01.26 23:36:26;0,0000;0,0000;0,0000;15,9220;1873,7951;6,0000;0;0
18.01.26 23:36:28;0,0000;0,0000;0,0000;15,9220;1873,7951;6,0000;0;0
18.01.26 23:36:30;-0,0000;0,0872;0,0000;15,9220;1899,0361;6,0000;0;1
18.01.26 23:36:32;0,0000;0,0000;0,0000;15,9220;1899,0361;6,0000;0;0
18.01.26 23:36:34;0,0000;0,0000;0,0000;15,9220;1899,0361;6,0000;0;0
18.01.26 23:36:36;-0,0000;0,0872;0,0000;15,9219;1919,2289;6,0000;0;1
18.01.26 23:36:38;0,0000;0,0000;0,0000;15,9219;1919,2289;6,0000;0;0
18.01.26 23:36:40;0,0000;0,0000;0,0000;15,9219;1919,2289;6,0000;0;0
18.01.26 23:36:43;-0,0000;0,0872;0,0000;15,9218;1935,3831;6,0000;0;1
18.01.26 23:36:45;0,0000;0,0000;0,0000;15,9218;1935,3831;6,0000;0;0
18.01.26 23:36:47;0,0000;0,0000;0,0000;15,9218;1935,3831;6,0000;0;0
18.01.26 23:36:49;-0,0000;0,0872;0,0000;15,9217;1948,3065;6,0000;0;1
18.01.26 23:36:51;0,0000;0,0000;0,0000;15,9217;1948,3065;6,0000;0;0
18.01.26 23:36:53;0,0000;0,0000;0,0000;15,9217;1948,3065;6,0000;0;0
18.01.26 23:36:55;-0,0000;0,0872;0,0000;15,9217;1958,6452;6,0000;0;1
18.01.26 23:36:57;0,0000;0,0000;0,0000;15,9217;1958,6452;6,0000;0;0
18.01.26 23:36:59;0,0000;0,0000;0,0000;15,9217;1958,6452;6,0000;0;0
18.01.26 23:37:01;-0,0000;0,1500;0,0000;15,9216;1966,9161;6,0000;0;1
18.01.26 23:37:03;0,0000;0,0000;0,0000;15,9216;1966,9161;6,0000;0;0
18.01.26 23:37:05;0,0000;0,0000;0,0000;15,9216;1966,9161;6,0000;0;0
18.01.26 23:37:07;-0,0000;0,1500;0,0000;15,9215;1973,5329;6,0000;0;1
18.01.26 23:37:09;0,0000;0,0000;0,0000;15,9215;1973,5329;6,0000;0;0
18.01.26 23:37:12;0,0000;0,0000;0,0000;15,9215;1973,5329;6,0000;0;0
18.01.26 23:37:14;-0,0000;0,1500;0,0000;15,9214;1978,8263;6,0000;0;1
18.01.26 23:37:16;0,0000;0,0000;0,0000;15,9214;1978,8263;6,0000;0;0
18.01.26 23:37:18;0,0000;0,0000;0,0000;15,9214;1978,8263;6,0000;0;0
18.01.26 23:37:20;-0,0000;0,1482;0,0000;15,9214;1983,0611;6,0000;0;1
18.01.26 23:37:22;0,0000;0,0000;0,0000;15,9214;1983,0611;6,0000;0;0
18.01.26 23:37:24;0,0000;0,0000;0,0000;15,9214;1983,0611;6,0000;0;0
18.01.26 23:37:26;-0,0000;0,0958;0,0000;15,9213;1986,4489;6,0000;0;1
18.01.26 23:37:28;0,0000;0,0000;0,0000;15,9213;1986,4489;6,0000;0;0
18.01.26 23:37:30;0,0000;0,0000;0,0000;15,9213;1986,4489;6,0000;0;0
18.01.26 23:37:32;-0,0000;0,0958;0,0000;15,9213;1989,1591;6,0000;0;1
18.01.26 23:37:34;0,0000;0,0000;0,0000;15,9213;1989,1591;6,0000;0;0
18.01.26 23:37:36;0,0000;0,0000;0,0000;15,9213;1989,1591;6,0000;0;0
18.01.26 23:37:38;-0,0000;0,0000;0,0000;15,9212;1989,1667;6,0000;0;1
18.01.26 23:37:40;0,0000;0,0000;0,0000;15,9212;1989,1667;6,0000;0;0
18.01.26 23:37:43;0,0000;0,0000;0,0000;15,9212;1989,1667;6,0000;0;0
